station,city,total_monitored_days,pm25_pct_exceed_days,pm25_avg,pm25_max,pm10_pct_exceed_days,pm10_avg,pm10_max,no2_pct_exceed_days,no2_avg,no2_max,so2_pct_exceed_days,so2_avg,so2_max,co_pct_exceed_days,co_avg,co_max,o3_pct_exceed_days,o3_avg,o3_max,nh3_pct_exceed_days,nh3_avg,nh3_max,overall_exceedance_score
thimmalapura,tumakuru,876,12.9,36.3,258.9,47.5,101.7,432.7,1.4,19.9,139.4,0.0,6.7,21.2,8.4,1.0,5.7,0.3,19.4,103.4,0.0,10.4,57.0,10.1
bwssb kadabesanahalli,bengaluru,145,7.8,36.6,110.5,46.1,113.7,432.3,0.0,33.0,64.8,0.0,6.6,29.0,13.7,0.9,3.7,0.0,18.4,51.1,0.0,18.7,47.5,9.7
rvce-mailasandra,bengaluru,876,17.4,47.0,422.8,36.4,97.1,430.5,0.0,16.9,78.2,0.1,5.6,80.2,0.3,0.8,4.9,0.0,30.4,58.9,0.0,13.8,46.1,7.7
silk board,bengaluru,876,4.7,35.2,794.0,41.6,96.3,283.0,0.0,18.0,76.0,0.0,7.1,21.3,0.1,0.7,5.8,0.0,22.0,86.9,0.0,10.7,83.9,6.6
bapuji nagar,bengaluru,876,14.2,39.9,695.0,25.7,77.9,194.9,2.5,15.7,96.8,0.0,6.4,37.8,0.1,0.8,2.6,0.2,22.2,124.2,0.0,10.3,101.5,6.1
jayanagar 5th block,bengaluru,876,10.7,38.4,893.0,28.7,74.0,211.7,0.1,11.7,110.3,0.0,9.9,43.9,0.2,0.5,2.9,0.0,22.9,95.3,0.0,7.6,49.8,5.7
kasturi nagar,bengaluru,876,10.3,34.7,130.6,24.8,75.8,254.7,0.0,14.9,36.3,0.0,9.3,27.3,4.6,0.6,2.1,0.0,38.2,91.4,0.0,13.0,38.2,5.7
deshpande nagar,hubballi,852,11.3,34.1,105.0,24.6,74.5,225.5,0.0,18.4,72.6,0.5,9.8,141.4,2.1,1.0,2.8,0.0,20.0,62.5,0.0,24.9,230.4,5.5
jigani,bengaluru,876,9.0,32.4,120.1,17.1,69.7,333.5,0.0,21.1,42.3,0.0,9.5,21.6,0.1,0.8,2.1,0.0,32.0,78.4,0.0,15.1,37.2,3.8
kadri,mangalore,876,6.2,31.2,100.8,16.9,69.6,211.7,0.2,10.1,101.3,0.0,13.8,29.5,0.0,0.7,1.5,0.0,26.7,45.6,0.0,12.2,112.9,3.3
city railway station,bengaluru,876,,,,11.6,83.0,209.0,0.0,27.5,65.6,0.0,14.1,26.0,1.6,1.2,2.5,,,,,,,3.3
lingaraj nagar,hubballi,876,2.4,24.4,131.4,16.0,69.5,243.7,0.0,7.9,18.6,0.0,1.9,11.9,4.2,0.7,9.1,0.0,27.2,91.6,0.0,8.8,20.7,3.2
hebbal,bengaluru,876,7.3,30.0,556.0,14.0,62.9,182.8,0.0,17.6,66.9,0.0,10.9,33.6,0.0,0.4,0.7,0.1,15.0,120.0,0.0,7.0,36.9,3.1
shivapura peenya,bengaluru,876,4.6,29.4,107.3,15.7,75.0,995.4,0.0,14.2,30.5,0.0,6.0,36.4,0.0,0.6,1.3,0.5,40.4,112.3,0.0,11.6,99.1,3.0
lal bahadur shastri nagar,kalaburagi,876,7.5,30.6,95.4,8.2,53.0,258.6,0.1,9.0,437.9,0.8,23.4,93.2,0.0,0.6,1.3,0.0,26.9,80.2,0.0,7.4,365.6,2.4
ramteerth nagar,belgaum,876,5.3,23.9,99.7,11.4,59.5,224.4,0.0,22.3,77.3,0.0,12.5,33.8,0.0,0.8,1.4,0.0,19.5,49.8,0.0,35.4,136.3,2.4
peenya,bengaluru,876,2.0,29.3,83.7,9.4,65.9,203.3,0.6,21.8,347.0,0.0,8.0,37.1,0.5,0.9,4.4,0.1,34.4,105.3,0.0,17.2,287.2,1.8
hombegowda nagar,bengaluru,876,1.7,23.6,93.7,7.2,54.4,135.7,0.0,18.5,55.4,0.0,6.1,26.0,0.0,0.4,1.6,0.3,22.3,108.1,0.0,4.6,21.3,1.3
btm layout,bengaluru,876,0.7,23.8,78.6,5.6,55.4,468.0,0.2,29.3,100.2,0.0,9.2,22.5,0.2,0.7,2.4,0.0,25.3,89.8,0.0,20.6,126.1,1.0
sanegurava halli,bengaluru,876,,,,0.9,44.1,357.4,0.0,21.0,35.3,0.1,4.2,115.8,0.0,0.6,2.0,,,,,,,0.3
hebbal 1st stage,mysuru,876,0.0,20.0,44.3,0.2,49.1,110.8,0.0,17.8,33.8,0.0,3.8,22.3,0.0,0.4,1.2,0.0,33.5,78.1,0.0,12.8,25.6,0.0
vinoba nagara,shivamogga,876,0.0,20.6,57.4,0.0,49.1,95.9,0.1,14.8,88.1,0.0,4.4,10.8,0.0,0.5,0.9,0.0,39.2,92.2,0.0,13.7,103.7,0.0
