Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,58.8,93.5,5.99,8.64,9.47,2.12,4.6,0.81,11.16,0.1,0.75,,,,,23.28,88.85,,137.22,,,,722.12,
2024-01-02,64.08,102.53,6.27,8.46,9.6,2.12,5.48,0.84,11.27,0.1,0.68,,,,,23.18,89.03,,131.54,,,,721.26,
2024-01-03,62.07,109.0,6.18,8.26,9.42,2.11,4.68,0.65,11.14,0.1,0.7,,,,,22.91,89.1,,132.28,,,,720.79,
2024-01-04,61.81,116.03,6.09,8.7,9.58,2.09,5.11,0.88,11.11,0.1,0.7,,,,,22.71,89.12,,147.4,,,,720.92,
2024-01-05,45.52,82.31,6.38,8.32,9.61,2.11,4.52,0.77,11.13,,0.8,,,,,23.37,89.02,,144.43,,,,720.78,
2024-01-06,39.08,76.77,6.21,8.41,9.52,2.07,4.81,0.86,11.16,0.1,0.83,,,,,23.91,88.91,,130.7,,,,720.93,
2024-01-07,33.98,72.26,6.1,8.61,9.54,2.11,4.98,0.71,11.12,,0.9,,,,,23.73,88.95,,123.41,,,,721.47,
2024-01-08,29.02,58.66,6.31,8.33,9.55,2.12,5.26,0.91,11.31,0.1,0.8,,,,,21.92,89.46,,123.91,,,,722.3,
2024-01-09,37.37,83.12,6.27,8.55,9.65,2.09,5.09,0.89,11.28,0.1,0.93,,,,,22.4,89.21,,122.39,,,,722.5,
2024-01-10,42.3,86.13,6.19,8.49,9.55,2.16,4.87,0.81,11.28,0.1,0.72,,,,,22.82,89.06,,131.77,,,,722.23,
2024-01-11,56.97,98.71,6.24,8.31,9.49,2.12,5.15,0.87,11.19,0.1,0.47,,,,,23.77,88.85,,127.07,,,,722.72,
2024-01-12,58.23,102.17,6.29,8.53,9.66,2.12,5.27,0.82,11.05,0.1,0.65,,,,,23.07,88.96,,127.06,,,,722.57,
2024-01-13,76.46,125.75,6.11,8.47,9.47,2.16,5.54,0.91,11.09,0.1,,,,,,23.32,89.0,,135.01,,,,723.44,
2024-01-14,79.63,153.56,6.39,8.57,9.75,2.09,4.34,1.15,11.12,0.1,,,,,,24.49,88.77,,120.7,,,,722.42,
2024-01-15,74.76,131.68,6.36,8.6,9.74,2.14,5.09,0.92,11.05,0.1,0.37,,,,,24.07,88.78,,135.59,,,,721.84,
2024-01-16,76.81,129.04,6.3,8.52,9.56,2.09,5.15,0.66,12.53,0.15,0.16,,,,,20.78,89.54,,138.02,,,,720.63,
2024-01-17,61.39,107.34,6.27,8.52,9.63,2.11,4.71,0.58,11.39,0.1,0.1,,,,,23.97,88.79,,160.91,,,,719.8,
2024-01-18,61.48,103.54,6.4,8.38,9.66,2.1,5.06,0.73,11.7,0.1,0.15,,,,,23.86,88.77,,170.52,,,,720.59,
2024-01-19,52.43,110.25,6.34,8.6,9.73,2.08,4.79,0.69,11.38,0.1,0.1,,,,,24.36,88.76,,139.98,,,,720.99,
2024-01-20,51.75,99.91,6.38,8.49,9.64,2.07,4.11,0.59,11.23,0.1,0.25,,,,,24.46,88.71,,148.79,,,,722.24,
2024-01-21,54.45,109.67,6.2,8.34,9.48,2.09,4.54,0.66,11.05,0.1,0.12,,,,,24.91,88.48,,146.77,,,,722.3,
2024-01-22,49.35,90.21,6.23,8.39,9.53,2.12,4.71,0.68,9.37,0.1,0.1,,,,,25.27,88.48,,148.08,,,,723.12,
2024-01-23,52.66,91.75,6.34,8.44,9.64,2.09,5.51,0.79,9.97,0.1,0.1,,,,,24.99,88.5,,166.6,,,,722.61,
