Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,17.53,56.14,7.38,28.56,35.39,14.24,13.7,0.95,29.86,0.61,1.8,,,0.4,0.31,,77.11,0.6,205.23,,,185.98,711.45,-0.08
2024-01-02,13.78,57.06,7.94,33.29,41.25,15.03,14.28,0.9,23.81,0.63,2.16,,,0.44,0.29,,80.34,0.59,208.6,,,201.21,747.07,-0.08
2024-01-03,24.13,68.55,8.14,35.5,44.89,15.5,8.42,0.45,19.91,0.66,1.97,,,0.48,0.26,,80.92,0.58,211.82,,,261.5,721.7,-0.07
2024-01-04,21.33,77.48,8.06,33.66,41.35,15.19,10.6,0.85,16.86,0.81,2.03,,,0.58,0.29,,85.52,0.6,208.57,,,252.83,718.87,-0.08
2024-01-05,20.57,61.79,7.51,30.41,37.1,11.82,9.31,0.69,19.41,0.8,1.93,,,0.5,0.33,,89.99,0.65,194.99,,,262.16,,-0.08
2024-01-06,,60.37,9.78,34.99,44.23,11.79,6.51,0.5,20.63,0.78,1.95,,,0.5,0.34,,,,,,,,,
2024-01-07,,44.8,10.77,35.8,45.97,10.83,3.28,0.46,17.94,0.85,2.48,,,0.59,0.37,,,,,,,,,
2024-01-08,18.94,39.62,9.61,33.15,42.19,10.13,4.7,0.47,21.41,0.68,2.01,,,0.49,0.3,,93.95,0.57,220.84,,,253.33,,-0.08
2024-01-09,15.7,53.97,8.96,30.59,38.94,10.31,6.5,0.48,19.7,0.62,2.12,,,0.52,0.33,,81.42,0.6,226.86,,,256.94,,-0.08
2024-01-10,20.96,55.98,10.04,31.8,41.32,11.86,8.47,0.43,21.76,0.75,2.51,,,0.66,0.43,,76.28,0.68,212.13,,,262.51,,-0.1
2024-01-11,17.72,62.75,8.31,27.42,35.18,10.4,8.83,0.4,16.85,0.69,1.97,,,0.53,0.37,,73.84,0.94,219.83,,,261.39,,-0.08
2024-01-12,23.87,60.71,7.53,25.54,32.51,9.33,8.09,0.28,23.22,0.59,1.79,,,0.45,0.3,,74.97,0.94,218.52,,,216.94,956.26,-0.08
2024-01-13,17.34,82.55,10.75,31.81,41.97,10.83,11.29,0.55,17.37,0.74,2.76,,,0.51,0.37,,81.09,0.95,205.63,,,158.59,953.1,-0.08
2024-01-14,19.21,86.02,10.75,31.85,42.02,10.82,11.29,0.63,23.55,0.74,2.76,,,0.51,0.37,,72.8,0.69,223.83,,,157.69,948.63,-0.08
2024-01-15,19.74,80.19,10.79,31.77,41.91,10.84,11.31,0.55,22.41,0.74,2.76,,,0.51,0.37,,71.81,0.61,205.04,,,156.42,937.44,-0.08
2024-01-16,19.27,263.94,8.99,27.76,36.22,9.48,8.59,0.6,28.69,0.61,2.31,,,0.43,0.28,,72.72,0.63,201.83,,,158.14,920.77,-0.06
2024-01-17,18.96,84.45,6.77,22.74,28.99,7.81,5.29,0.51,19.65,0.44,1.76,,,0.31,0.17,,71.74,0.67,186.53,,,160.18,925.21,-0.07
2024-01-18,15.01,77.75,6.75,22.78,29.02,7.81,5.31,0.53,14.44,0.44,1.76,,,0.31,0.17,,72.06,0.65,189.52,,,159.09,937.64,-0.07
2024-01-19,18.6,65.7,7.7,26.5,33.63,10.47,5.58,0.58,20.45,0.59,1.83,,,0.42,0.28,,75.48,0.74,203.09,,,162.45,953.21,-0.08
2024-01-20,19.0,70.73,10.79,31.76,41.91,14.8,8.27,0.47,20.18,0.84,2.45,,,0.61,0.47,,80.41,0.82,195.87,,,144.45,969.31,-0.07
2024-01-21,13.04,70.83,10.73,31.81,41.95,14.8,8.35,0.61,21.96,0.84,2.45,,,0.61,0.47,,69.78,1.19,193.18,,,168.34,1021.17,-0.07
2024-01-22,17.81,66.14,10.22,30.62,39.72,13.21,7.51,0.57,23.32,0.63,2.15,,,0.46,0.37,,68.98,0.99,180.12,,,170.0,1069.31,-0.07
2024-01-23,20.48,65.89,10.3,31.31,40.24,13.6,7.14,0.42,29.53,0.54,2.19,,,0.38,0.31,,67.84,1.38,175.94,,,170.83,,-0.08
2024-01-24,16.52,76.18,8.6,30.28,38.26,14.73,6.37,0.39,18.29,0.58,1.99,,,0.41,0.3,,73.76,1.45,175.39,,,173.86,1095.65,-0.08
2024-01-25,15.99,77.45,9.43,32.41,41.22,18.47,7.95,0.91,28.41,0.58,1.54,,,0.38,0.27,,73.57,0.94,182.77,,,113.06,930.75,-0.09
2024-01-26,7.51,50.9,11.43,33.09,44.01,19.81,9.29,1.5,26.53,0.84,2.21,,,0.52,0.34,,68.3,0.62,200.38,,,67.21,933.33,-0.08
2024-01-27,6.81,49.09,11.44,33.05,43.96,19.83,9.29,2.43,24.63,0.84,2.21,,,0.52,0.34,,70.61,0.57,208.74,,,71.95,945.32,-0.07
2024-01-28,6.24,47.12,11.43,33.04,43.98,19.85,9.28,2.21,27.87,0.84,2.21,,,0.52,0.34,,75.48,0.54,209.35,,,58.39,929.79,-0.07
2024-01-29,8.77,60.54,11.46,33.06,43.89,19.84,9.29,1.65,25.42,0.84,2.2,,,0.52,0.34,,68.98,0.54,207.53,,,86.76,919.46,-0.07
2024-01-30,22.42,90.82,8.36,27.24,35.27,18.83,7.04,1.55,25.3,0.7,1.95,,,0.41,0.29,,66.65,0.66,190.81,,,73.11,980.93,-0.08
2024-01-31,36.28,87.66,3.08,17.59,20.58,15.86,4.26,0.71,26.93,0.57,1.71,,,0.31,0.24,,68.51,0.58,202.56,,,54.91,1005.15,-0.08
2024-02-01,30.88,69.06,2.15,17.19,19.19,8.42,4.28,0.71,24.76,0.57,1.71,,,0.32,0.24,,70.19,0.61,184.72,,,70.48,998.5,-0.08
2024-02-02,33.63,75.15,3.91,22.31,26.14,26.52,5.41,0.71,25.06,0.57,1.71,,,0.32,0.24,,75.83,0.6,181.01,,,59.73,996.35,-0.08
2024-02-03,30.48,75.97,6.38,28.72,35.1,54.17,8.06,0.71,29.83,0.65,2.26,,,0.4,0.3,,76.45,0.58,193.56,,,51.9,1006.01,-0.11
2024-02-04,20.08,60.38,6.55,29.32,35.87,52.46,10.27,0.71,24.58,0.87,3.7,,,0.61,0.44,,65.85,0.56,196.41,,,69.64,910.56,-0.12
