Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,17.82,31.82,11.69,40.30,51.99,19.51,4.36,1.00,29.38,2.00,3.60,NA,NA,1.60,1.50,24.21,76.86,2.58,107.05,NA,NA,162.46,911.64,0.12
2022-01-02 00:00:00,21.62,38.61,11.68,40.25,51.93,19.49,4.01,0.99,28.46,2.00,3.60,NA,NA,1.61,1.50,24.14,71.26,2.72,116.53,NA,NA,194.16,911.51,0.12
2022-01-03 00:00:00,31.42,56.10,11.68,40.23,51.90,19.48,3.65,1.00,31.26,2.00,3.60,NA,NA,1.60,1.50,23.84,70.08,2.12,112.26,NA,NA,181.16,911.44,0.12
2022-01-04 00:00:00,54.62,97.53,11.67,40.19,51.86,19.47,2.85,1.01,32.04,2.00,3.60,NA,NA,1.61,1.50,23.77,66.90,2.05,113.77,NA,NA,183.90,911.44,0.12
2022-01-05 00:00:00,51.76,92.42,11.67,40.20,51.86,19.47,3.28,1.08,33.34,2.00,3.60,NA,NA,1.60,1.50,23.74,66.18,1.55,127.62,NA,NA,184.44,911.43,0.12
2022-01-06 00:00:00,43.84,78.29,11.68,40.25,51.93,19.48,4.09,1.02,28.40,2.00,3.60,NA,NA,1.60,1.50,23.95,71.41,1.98,119.17,NA,NA,177.71,911.31,0.12
2022-01-07 00:00:00,45.36,86.82,11.69,40.29,51.98,19.48,5.05,1.04,27.48,2.00,3.60,NA,NA,1.60,1.50,24.29,69.07,1.95,126.38,NA,NA,166.46,911.33,0.12
2022-01-08 00:00:00,62.58,122.31,11.70,40.32,52.02,19.49,4.02,1.03,29.11,2.00,3.60,NA,NA,1.60,1.50,24.39,72.04,1.83,127.29,NA,NA,159.40,911.39,0.12
2022-01-09 00:00:00,32.82,69.17,11.69,40.31,52.00,19.48,3.28,1.01,30.42,2.00,3.60,NA,NA,1.60,1.50,24.62,69.06,1.56,125.53,NA,NA,171.87,911.23,0.12
2022-01-10 00:00:00,50.50,100.74,11.69,40.28,51.97,19.47,3.54,1.01,32.67,2.00,3.60,NA,NA,1.60,1.50,24.41,69.95,1.56,138.21,NA,NA,174.88,911.23,0.12
2022-01-11 00:00:00,46.32,94.38,9.19,29.64,39.61,19.44,5.69,1.02,33.56,2.68,4.16,NA,NA,1.96,1.69,24.81,67.14,1.45,135.31,NA,NA,189.60,911.20,0.12
2022-01-12 00:00:00,22.32,86.49,6.59,16.77,23.86,19.46,7.21,1.03,30.25,3.19,4.51,NA,NA,2.03,1.67,25.16,66.72,1.39,189.22,NA,NA,176.47,911.13,0.12
2022-01-13 00:00:00,10.77,97.86,6.60,16.83,23.93,19.47,4.70,1.10,12.83,3.10,4.33,NA,NA,2.03,1.67,24.91,61.61,1.46,230.17,NA,NA,171.43,911.10,0.12
2022-01-14 00:00:00,11.37,116.82,6.60,17.64,23.95,19.58,5.40,1.07,19.92,3.10,4.33,NA,NA,2.03,1.67,24.65,58.73,0.96,190.11,NA,NA,177.29,911.10,0.11
2022-01-15 00:00:00,10.21,77.35,6.64,17.93,24.12,20.16,7.43,0.98,12.58,3.10,4.33,NA,NA,2.03,1.67,25.25,54.33,0.99,158.17,NA,NA,195.79,911.16,0.11
