Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,41.94,93.56,9.57,21.12,30.38,31.77,12.08,1.43,37.0,,,,,,,,49.81,0.4,122.92,,,,,
2024-01-02,46.46,101.21,12.84,20.98,33.82,32.56,11.27,1.39,32.99,,,,,,,,53.27,0.36,119.65,,,,,
2024-01-03,53.72,107.52,11.07,20.98,31.9,35.68,11.63,1.58,31.76,,,,,,,,51.98,0.41,129.44,,,,,
2024-01-04,59.08,109.51,10.05,21.52,31.11,48.29,12.4,1.52,30.59,,,,,,,,53.08,0.41,154.79,,,,,
2024-01-05,52.4,108.57,11.76,20.95,32.71,40.85,12.41,1.61,22.75,,,,,,,,57.53,0.48,186.94,,,,,
2024-01-06,38.89,75.11,21.72,20.83,42.54,41.98,10.44,1.49,27.79,,,,,,,,51.65,0.48,144.13,,,,,
2024-01-07,20.45,49.18,20.47,20.73,41.18,37.65,13.02,1.34,27.32,,,,,,,,49.11,0.65,117.93,,,,,
2024-01-08,25.65,59.55,12.25,20.34,32.57,34.63,14.72,1.39,23.51,,,,,,,,59.29,0.57,113.28,,,,,
2024-01-09,33.61,66.74,24.61,20.3,44.91,52.43,13.82,1.47,19.24,,,,,,,,69.72,0.4,104.5,,,,,
2024-01-10,47.1,82.54,16.08,19.25,35.22,43.3,10.74,1.5,30.12,,,,,,,,50.79,0.52,103.47,,,,,
2024-01-11,40.97,77.96,5.71,19.59,24.27,32.72,10.69,1.47,34.64,,,,,,,,44.03,0.54,99.3,,,,,
2024-01-12,37.8,86.0,4.96,18.56,22.3,26.71,10.63,1.53,40.14,,,,,,,,29.15,0.68,97.4,,,,,
2024-01-13,55.59,94.81,13.14,19.3,32.41,33.75,10.56,1.65,32.01,,,,,,,,45.05,0.39,119.34,,,,,
2024-01-14,56.3,101.25,18.3,20.2,31.2,44.15,10.76,1.67,36.4,,,,,,,,42.98,0.4,176.99,,,,,
2024-01-15,58.24,100.93,3.33,19.59,19.92,29.37,10.85,1.68,44.34,,,,,,,,42.16,0.43,194.38,,,,,
2024-01-16,53.46,109.42,3.23,19.41,21.09,31.11,11.01,1.7,40.74,,,,,,,,45.3,0.42,215.54,,,,,
2024-01-17,43.99,88.2,6.01,18.83,22.53,31.33,10.84,1.69,30.23,,,,,,,,53.58,0.49,210.54,,,,,
2024-01-18,56.99,112.57,4.91,19.51,22.75,25.4,11.18,1.79,30.72,,,,,,,,55.72,0.43,193.76,,,,,
2024-01-19,61.66,112.1,3.38,20.37,21.39,25.32,11.36,1.81,23.88,,,,,,,,54.66,0.38,169.58,,,,,
2024-01-20,56.24,104.7,5.4,19.29,24.01,27.66,,1.65,26.29,,,,,,,,59.86,0.4,225.54,,,,,
2024-01-21,57.4,85.73,7.19,19.85,27.04,27.0,,1.6,24.23,,,,,,,,67.26,0.33,176.88,,,,,
2024-01-22,34.65,72.14,3.25,18.71,19.1,24.63,,1.52,30.03,,,,,,,,49.77,0.49,214.39,,,,,
2024-01-23,27.7,64.8,0.84,20.22,18.6,24.7,,1.51,24.62,,,,,,,,45.21,0.49,207.95,,,,,
2024-01-24,45.64,92.36,1.35,19.76,16.38,22.68,11.78,1.62,37.91,,,,,,,,53.69,0.41,206.87,,,,,
2024-01-25,77.29,136.55,3.5,17.96,18.75,27.55,12.8,1.83,42.48,,,,,,,,40.76,0.46,147.51,,,,,
2024-01-26,65.06,111.63,5.01,18.22,21.28,28.94,12.76,1.64,33.68,,,,,,,,43.62,0.52,149.39,,,,,
2024-01-27,38.4,70.59,2.64,18.88,21.49,27.81,12.75,1.49,29.96,,,,,,,,47.45,0.44,92.96,,,,,
2024-01-28,38.12,69.0,0.8,18.55,17.25,26.79,12.8,1.52,35.0,,,,,,,,40.87,0.52,106.42,,,,,
2024-01-29,36.36,72.16,1.89,18.57,17.09,27.37,12.82,1.57,31.77,,,,,,,,30.77,0.48,120.37,,,,,
2024-01-30,49.8,103.04,0.22,19.35,16.46,25.6,12.99,1.65,31.33,,,,,,,,41.28,0.39,198.38,,,,,
2024-01-31,89.45,145.17,3.93,19.45,23.38,29.48,13.19,1.83,24.77,,,,,,,,60.47,0.33,156.89,,,,,
2024-02-01,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-02,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-03,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-04,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-05,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-06,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-07,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-08,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-09,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-10,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-11,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-12,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-13,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-14,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-15,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-16,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-17,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-18,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-19,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-20,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-21,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-22,24.63,78.04,0.22,19.33,16.58,26.21,13.6,1.75,25.17,,,,,,,,36.59,0.52,239.11,,,,,
2024-02-23,36.23,91.15,6.6,20.29,19.43,30.41,15.06,1.6,35.52,,,,,,,,47.21,0.51,207.45,,,,,
2024-02-24,49.03,108.83,0.13,21.5,15.81,30.93,14.02,1.68,26.39,,,,,,,,46.52,0.44,199.91,,,,,
2024-02-25,40.38,93.0,,21.45,15.42,26.74,14.06,1.52,34.09,,,,,,,,54.35,0.3,174.88,,,,,
2024-02-26,34.13,84.76,,21.36,15.07,28.02,13.58,1.51,25.1,,,,,,,,30.41,0.69,150.5,,,,,
2024-02-27,27.74,71.15,0.13,21.36,15.93,30.45,15.33,1.4,23.68,,,,,,,,36.04,0.49,170.72,,,,,
2024-02-28,31.38,69.32,,21.37,14.8,27.57,15.08,1.38,25.38,,,,,,,,35.37,0.54,158.39,,,,,
2024-02-29,28.65,72.41,7.59,21.45,18.97,23.69,13.04,0.97,16.33,,,,,,,,29.31,0.61,140.48,,,,,
2024-03-01,34.05,71.36,7.12,21.45,28.56,19.93,13.99,0.84,16.79,,,,,,,,41.98,0.55,175.99,,,,,
2024-03-02,41.97,,8.16,21.55,29.71,24.44,15.69,0.9,17.92,,,,,,,,54.92,0.6,223.89,,,,,
2024-03-03,35.46,67.09,9.24,21.53,30.77,28.23,15.74,1.15,22.95,,,,,,,,55.18,0.44,221.94,,,,,
2024-03-04,28.37,70.01,9.89,21.75,31.64,29.8,16.0,1.28,25.63,,,,,,,,47.17,0.41,209.19,,,,,
2024-03-05,36.35,95.2,7.25,21.32,28.57,18.92,15.76,2.29,45.77,,,,,,,,36.68,0.49,215.24,,,,,
2024-03-06,36.68,90.22,6.07,21.42,27.48,15.96,15.6,2.35,46.91,,,,,,,,39.5,0.53,212.85,,,,,
2024-03-07,30.01,84.57,6.98,21.28,28.26,18.51,15.08,1.92,38.45,,,,,,,,33.69,0.48,214.51,,,,,
2024-03-08,34.6,72.68,6.45,21.45,27.9,17.46,15.74,2.14,42.76,,,,,,,,28.65,0.52,170.71,,,,,
2024-03-09,41.34,95.74,9.06,21.06,30.12,20.06,,1.91,38.24,,,,,,,,30.02,0.59,203.24,,,,,
