Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,51.92,84.77,,3.77,,4.9,10.48,0.37,7.75,0.1,,,,,,22.89,78.47,0.21,66.04,,,,,
2024-01-02,56.91,88.91,,3.77,,4.9,8.78,0.41,8.47,0.1,,,,,,22.91,84.29,0.2,91.12,,,,,
2024-01-03,55.75,91.74,,3.78,,4.9,10.29,0.42,11.97,0.1,,,,,,22.28,87.05,0.46,95.29,,,,,
2024-01-04,60.64,97.47,,3.74,,4.9,11.63,0.38,9.08,0.1,,,,,,22.2,90.06,0.74,88.37,,,,,
2024-01-05,43.57,72.25,,3.77,,4.9,10.63,0.37,9.1,0.1,,,,,,22.87,88.68,0.87,88.8,,,,,
2024-01-06,38.88,69.54,,3.78,,4.9,10.8,0.36,8.02,0.1,,,,,,23.43,86.12,0.86,85.71,,,,,
2024-01-07,31.91,59.56,,3.77,,4.9,10.69,0.35,7.47,0.1,,,,,,23.76,82.52,0.91,92.5,,,,,
2024-01-08,22.95,42.39,,3.77,,4.89,7.99,0.36,8.36,0.09,,,,,,21.24,89.12,0.88,88.6,,,,,
2024-01-09,33.64,64.2,,3.77,,4.9,8.91,0.36,7.37,0.1,,,,,,21.95,84.55,0.91,,,,,,
2024-01-10,39.93,74.88,,3.74,,4.91,9.12,0.38,7.37,0.09,,,,,,22.35,84.62,1.01,96.33,,,,,
2024-01-11,44.76,82.32,,3.76,,4.9,8.34,0.37,7.59,0.1,,,,,,23.47,76.04,0.88,90.2,,,,,
2024-01-12,49.07,89.96,,3.75,,4.9,7.97,0.36,7.51,0.1,,,,,,22.67,79.07,0.98,,,,,,
2024-01-13,69.25,110.73,,3.78,,4.9,8.4,0.37,7.62,0.1,,,,,,22.76,79.91,0.74,80.74,,,,,
2024-01-14,85.46,124.98,,3.75,,4.9,7.62,0.36,7.82,0.11,,,,,,23.59,75.58,0.7,79.58,,,,,
2024-01-15,76.47,117.02,,3.76,,4.91,8.58,0.37,7.71,0.1,,,,,,23.44,77.3,0.7,83.38,,,,,
2024-01-16,79.09,113.59,,3.76,,4.9,10.0,0.33,8.74,0.1,,,,,,19.4,91.35,0.81,91.71,,,,,
2024-01-17,67.72,126.67,,3.74,,4.9,9.85,0.36,10.55,0.14,,,,,,26.04,70.19,0.65,80.12,,,,,
2024-01-18,75.61,107.59,,3.76,,4.9,11.27,0.43,10.84,0.12,,,,,,22.86,80.46,0.67,82.4,,,,,
2024-01-19,42.45,82.57,,3.75,,4.91,11.38,0.35,9.85,0.11,,,,,,23.66,79.26,0.72,82.86,,,,,
2024-01-20,51.21,94.39,,3.76,,4.9,9.84,0.37,7.6,0.1,,,,,,23.82,76.08,0.82,91.65,,,,,
2024-01-21,59.27,93.82,,3.77,,4.9,8.4,0.41,8.18,0.12,,,,,,24.26,75.08,0.72,87.41,,,,,
2024-01-22,41.41,83.4,,3.76,,4.9,9.74,0.36,9.21,0.09,,,,,,24.53,75.86,0.74,75.35,,,,,
2024-01-23,42.32,86.29,,3.73,,4.9,9.89,0.39,9.8,0.1,,,,,,24.29,75.58,0.71,82.91,,,,,
2024-01-24,53.93,97.25,,3.76,,4.9,10.61,0.38,9.49,0.09,,,,,,23.5,80.7,0.72,75.86,,,,,
2024-01-25,54.62,98.95,,3.75,,4.9,10.29,0.39,9.78,0.1,,,,,,24.02,83.14,0.78,82.56,,,,,
2024-01-26,32.16,68.93,,3.75,,4.9,10.44,0.36,7.71,0.1,,,,,,23.56,72.61,0.94,90.55,,,,,
2024-01-27,34.2,67.84,,3.76,,4.9,10.86,0.4,19.28,0.09,,,,,,23.55,76.69,0.9,87.67,,,,,
2024-01-28,64.5,59.88,,3.78,,4.89,9.94,0.35,23.1,0.11,,,,,,23.03,73.39,0.9,91.0,,,,,
2024-01-29,42.19,75.19,,3.77,,4.91,9.81,0.36,31.38,0.1,,,,,,21.94,79.43,0.85,89.6,,,,,
2024-01-30,59.06,128.36,,3.76,,4.9,9.93,0.47,19.62,0.13,,,,,,23.24,77.01,0.67,89.47,,,,,
2024-01-31,53.47,103.96,,3.77,,4.9,8.75,0.4,10.15,0.13,,,,,,23.04,82.39,0.72,63.0,,,,,
2024-02-01,36.3,79.8,,3.76,,4.9,9.11,0.48,21.07,0.1,,,,,,24.8,74.31,0.64,80.35,,,,,
2024-02-02,41.87,94.84,,3.77,,4.9,10.91,0.35,26.34,0.09,,,,,,25.31,74.64,0.68,78.25,,,,,
2024-02-03,41.19,88.11,,3.75,,4.9,12.12,0.38,11.71,0.1,,,,,,25.5,80.16,0.87,86.61,,,,,
2024-02-04,64.11,109.09,,3.75,,4.9,11.75,0.37,10.14,0.09,,,,,,25.27,70.09,0.93,88.12,,,,,
2024-02-05,40.2,81.23,,3.76,,4.89,11.73,0.36,9.85,0.1,,,,,,25.38,69.36,0.94,89.22,,,,,
2024-02-06,54.95,108.36,,3.79,,4.89,10.46,0.42,8.96,0.1,,,,,,25.89,68.6,0.88,87.9,,,,,
2024-02-07,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-08,35.21,94.61,,3.71,,4.9,12.85,0.59,16.19,0.11,,,,,,30.83,51.17,0.96,88.2,,,,,
2024-02-09,33.69,83.63,,3.77,,4.9,12.91,0.37,14.78,0.08,,,,,,26.63,72.16,0.93,84.03,,,,,
2024-02-10,49.3,92.37,,3.76,,4.9,13.89,0.37,9.57,0.09,,,,,,25.03,73.98,1.12,91.26,,,,,
2024-02-11,52.54,93.16,,3.77,,4.9,15.08,0.35,10.06,0.1,,,,,,24.5,73.64,1.16,93.47,,,,,
2024-02-12,46.45,94.24,,3.74,,4.9,12.18,0.41,9.77,0.1,,,,,,24.47,66.47,0.97,87.64,,,,,
2024-02-13,33.97,70.9,,3.76,,4.9,14.69,0.39,10.19,0.09,,,,,,24.58,77.62,1.09,91.33,,,,,
2024-02-14,39.58,76.84,,3.77,,4.89,12.31,0.37,9.36,0.1,,,,,,24.86,77.85,1.07,89.92,,,,,
2024-02-15,44.98,85.15,,3.79,,4.9,13.46,0.36,9.58,0.1,,,,,,22.11,71.25,0.99,83.57,,,,,
2024-02-16,29.3,73.0,,3.73,,4.9,9.46,0.37,12.71,0.08,,,,,,27.2,78.21,1.32,92.5,,,,,
2024-02-17,33.22,79.61,,3.75,,4.9,13.57,0.32,16.38,0.09,,,,,,25.69,74.01,1.06,85.59,,,,,
2024-02-18,35.33,79.77,,3.77,,4.9,13.24,0.37,11.47,0.08,,,,,,25.68,74.78,0.89,74.04,,,,,
2024-02-19,45.46,70.0,,3.75,,4.89,14.09,0.39,19.47,0.07,,,,,,25.96,73.34,0.95,82.5,,,,,
2024-02-20,42.76,113.13,,3.74,,4.9,12.81,0.43,15.77,0.09,,,,,,25.89,71.73,0.82,83.67,,,,,
2024-02-21,49.64,124.18,,3.75,,4.9,13.15,0.38,21.2,0.07,,,,,,26.18,80.81,0.76,79.56,,,,,
2024-02-22,42.14,105.5,,3.78,,4.89,12.94,0.4,12.4,0.06,,,,,,26.89,72.76,0.64,72.04,,,,,
2024-02-23,53.22,133.03,,3.77,,4.9,11.78,0.42,22.38,0.08,,,,,,26.78,73.14,0.61,58.24,,,,,
2024-02-24,41.05,102.7,,3.74,,4.9,8.52,0.28,12.02,0.12,,,,,,22.92,91.85,0.65,76.56,,,,,
2024-02-25,42.9,107.34,,3.74,,4.89,21.99,,7.56,0.05,,,,,,27.93,77.48,1.22,95.7,,,,,
2024-02-26,25.84,64.68,,,,,20.34,,7.48,0.04,,,,,,24.94,83.22,1.31,96.86,,,,,
