Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,57.00,97.66,NA,50.00,NA,2.91,11.72,NA,6.11,0.08,NA,NA,NA,NA,NA,21.43,76.08,0.54,NA,NA,NA,NA,NA,NA
2025-01-02 00:00:00,61.55,108.24,NA,53.61,NA,2.53,12.86,NA,6.00,0.10,NA,NA,NA,NA,NA,20.95,75.61,0.53,97.00,NA,NA,NA,NA,NA
2025-01-03 00:00:00,58.92,103.90,NA,53.15,NA,3.08,12.85,NA,NA,0.10,NA,NA,NA,NA,NA,21.00,74.78,0.54,NA,NA,NA,NA,NA,NA
2025-01-04 00:00:00,63.08,120.95,NA,54.65,NA,2.47,13.49,NA,NA,0.10,NA,NA,NA,NA,NA,19.86,75.67,0.48,68.00,NA,NA,NA,NA,NA
2025-01-05 00:00:00,66.08,116.82,NA,53.63,NA,2.94,12.45,NA,NA,0.10,NA,NA,NA,NA,NA,20.35,76.12,0.44,NA,NA,NA,NA,NA,NA
2025-01-06 00:00:00,63.57,117.04,NA,55.24,NA,2.75,13.10,NA,NA,0.10,NA,NA,NA,NA,NA,20.80,74.76,0.43,92.75,NA,NA,NA,NA,NA
2025-01-07 00:00:00,56.84,118.67,NA,54.42,NA,2.84,12.74,NA,NA,0.09,NA,NA,NA,NA,NA,20.86,74.79,0.37,NA,NA,NA,NA,NA,NA
2025-01-08 00:00:00,51.79,104.81,NA,55.06,NA,2.81,12.30,NA,NA,0.10,NA,NA,NA,NA,NA,21.56,69.91,0.46,NA,NA,NA,NA,NA,NA
2025-01-09 00:00:00,71.38,120.55,NA,54.62,NA,3.46,10.46,NA,NA,0.10,NA,NA,NA,NA,NA,19.98,76.50,0.61,96.50,NA,NA,NA,NA,NA
2025-01-10 00:00:00,73.58,117.33,NA,54.11,NA,3.92,11.91,NA,NA,0.09,NA,NA,NA,NA,NA,20.62,80.84,0.57,93.00,NA,NA,NA,NA,NA
2025-01-11 00:00:00,45.79,89.54,NA,52.58,NA,4.32,11.26,NA,NA,0.08,NA,NA,NA,NA,NA,20.51,83.86,0.48,95.00,NA,NA,NA,NA,NA
2025-01-12 00:00:00,41.72,79.06,NA,50.84,NA,4.13,12.52,NA,NA,0.07,NA,NA,NA,NA,NA,22.18,75.83,0.52,96.00,NA,NA,NA,NA,NA
2025-01-13 00:00:00,31.65,64.84,NA,50.21,NA,4.61,12.86,NA,NA,0.03,NA,NA,NA,NA,NA,21.93,82.20,0.52,NA,NA,NA,NA,NA,NA
2025-01-14 00:00:00,22.28,52.74,NA,48.21,NA,4.87,13.40,NA,NA,0.01,NA,NA,NA,NA,NA,21.88,80.66,0.61,99.00,NA,NA,NA,NA,NA
2025-01-15 00:00:00,19.59,54.40,NA,49.96,NA,4.51,12.88,NA,NA,0.04,NA,NA,NA,NA,NA,20.59,80.94,0.60,NA,NA,NA,NA,NA,NA
2025-01-16 00:00:00,41.99,85.38,NA,53.35,NA,4.03,12.74,NA,NA,0.08,NA,NA,NA,NA,NA,21.26,77.84,0.58,77.00,NA,NA,NA,NA,NA
2025-01-17 00:00:00,68.48,110.86,NA,52.63,NA,4.26,13.65,NA,14.05,0.08,NA,NA,NA,NA,NA,20.51,79.28,0.58,99.00,NA,NA,NA,NA,NA
2025-01-18 00:00:00,66.09,110.33,NA,47.15,NA,9.48,13.14,0.63,22.99,0.06,NA,NA,NA,NA,NA,21.18,75.68,0.54,NA,NA,NA,NA,NA,NA
2025-01-19 00:00:00,34.54,70.14,NA,32.42,NA,5.06,8.49,0.35,5.11,0.03,NA,NA,NA,NA,NA,19.31,91.10,0.32,NA,NA,NA,NA,NA,NA
2025-01-20 00:00:00,28.42,74.84,NA,33.93,NA,4.28,9.21,0.38,6.90,0.04,NA,NA,NA,NA,NA,22.16,77.88,0.40,NA,NA,NA,NA,NA,NA
2025-01-21 00:00:00,46.83,99.33,NA,42.22,NA,4.25,9.70,0.45,5.46,0.10,NA,NA,NA,NA,NA,21.38,73.81,0.48,93.00,NA,NA,NA,NA,NA
2025-01-22 00:00:00,43.10,99.27,NA,43.61,NA,4.24,9.55,0.39,5.84,0.10,NA,NA,NA,NA,NA,21.65,74.62,0.52,90.00,NA,NA,NA,NA,NA
