Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,29.32,74.15,2.54,29.19,17.58,7.26,3.24,0.41,4.58,0.14,4.26,,,,,22.12,65.44,,123.49,,,,715.84,
2024-01-02,32.57,81.13,2.54,28.61,17.28,7.64,3.61,0.36,4.07,0.17,4.02,,,,,22.27,66.97,,117.29,,,,715.2,
2024-01-03,32.19,80.76,2.52,29.24,17.61,7.45,3.76,0.37,3.99,0.11,4.08,,,,,21.88,66.99,,118.42,,,,714.78,
2024-01-04,35.98,89.87,2.54,28.82,17.4,7.68,3.4,0.37,3.88,0.13,3.92,,,,,21.9,70.97,,122.99,,,,714.92,
2024-01-05,24.61,61.61,2.54,27.03,16.44,7.22,3.02,0.34,3.84,0.11,3.77,,,,,22.24,72.89,,126.09,,,,714.72,
2024-01-06,21.08,52.88,2.56,28.89,17.44,6.84,2.97,0.33,4.08,0.1,4.01,,,,,22.68,71.19,,118.61,,,,714.79,
2024-01-07,18.82,47.23,2.58,27.44,16.69,6.74,4.21,0.34,4.27,0.1,3.84,,,,,22.85,68.42,,114.56,,,,715.35,
2024-01-08,12.34,30.68,2.58,25.69,15.77,6.52,3.4,0.35,4.31,0.1,3.4,,,,,21.16,80.4,,114.12,,,,716.01,
2024-01-09,20.54,51.44,2.53,27.12,16.49,6.47,3.42,0.33,4.48,0.1,3.64,,,,,21.64,68.94,,115.44,,,,716.2,
2024-01-10,25.29,63.11,2.52,27.4,16.62,6.72,3.73,0.37,4.94,0.11,3.44,,,,,21.88,63.07,,114.29,,,,715.92,
2024-01-11,27.35,68.07,2.51,28.24,17.06,6.78,4.36,0.37,4.7,0.11,3.69,,,,,22.75,62.66,,115.01,,,,716.22,
2024-01-12,30.58,76.31,2.54,27.5,16.69,6.93,3.98,0.37,5.09,0.11,3.3,,,,,21.9,61.85,,114.86,,,,716.26,
