Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,49.91,91.30,0.46,9.82,5.60,4.89,13.98,0.49,46.26,0.10,4.15,NA,NA,NA,NA,21.68,65.17,NA,198.48,NA,NA,NA,715.98,NA
2025-01-02 00:00:00,59.28,102.59,0.55,11.27,6.43,5.14,15.69,0.53,50.25,0.10,4.24,NA,NA,NA,NA,21.04,64.86,NA,201.26,NA,NA,NA,715.57,NA
2025-01-03 00:00:00,55.92,100.46,0.59,10.88,6.27,4.89,16.33,0.47,47.59,0.10,4.14,NA,NA,NA,NA,21.11,64.68,NA,190.98,NA,NA,NA,715.78,NA
2025-01-04 00:00:00,61.40,115.58,0.72,12.09,7.02,4.95,14.21,0.51,44.95,0.10,4.22,NA,NA,NA,NA,19.54,66.61,NA,212.81,NA,NA,NA,714.95,NA
2025-01-05 00:00:00,61.27,110.68,0.55,11.84,6.75,4.90,14.32,0.51,47.41,0.11,4.35,NA,NA,NA,NA,20.30,66.56,NA,199.01,NA,NA,NA,715.01,NA
2025-01-06 00:00:00,63.75,120.86,0.67,12.83,7.34,5.01,11.95,0.56,48.08,0.12,4.42,NA,NA,NA,NA,20.57,65.47,NA,210.14,NA,NA,NA,714.59,NA
2025-01-07 00:00:00,51.67,113.25,1.84,14.98,9.45,4.65,11.12,0.65,39.62,0.13,4.63,NA,NA,NA,NA,20.75,66.06,NA,206.19,NA,NA,NA,714.66,NA
2025-01-08 00:00:00,54.26,106.33,0.81,12.58,7.33,4.94,16.30,0.53,48.41,0.12,4.34,NA,NA,NA,NA,21.65,58.44,NA,195.72,NA,NA,NA,714.32,NA
2025-01-09 00:00:00,79.44,129.31,0.47,9.60,5.45,6.30,11.84,0.54,57.07,0.11,3.84,NA,NA,NA,NA,19.91,69.03,NA,212.77,NA,NA,NA,715.28,NA
2025-01-10 00:00:00,71.06,115.80,0.71,10.70,6.25,5.92,13.54,0.55,44.81,0.10,4.02,NA,NA,NA,NA,20.72,73.51,NA,209.48,NA,NA,NA,716.48,NA
