Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,57.41,92.67,1.25,3.72,4.00,2.11,13.90,0.38,18.05,0.41,1.46,NA,NA,NA,NA,23.12,66.28,NA,158.03,NA,NA,NA,716.83,NA
2025-01-02 00:00:00,63.99,108.42,1.24,3.74,4.01,2.10,12.64,0.38,23.60,0.37,1.30,NA,NA,NA,NA,22.87,65.39,NA,145.28,NA,NA,NA,716.40,NA
2025-01-03 00:00:00,62.41,105.53,1.30,3.78,4.13,2.11,13.10,0.44,32.79,0.38,1.35,NA,NA,NA,NA,22.97,64.56,NA,139.65,NA,NA,NA,716.54,NA
2025-01-04 00:00:00,66.71,109.83,1.22,3.78,4.00,2.09,8.97,0.40,36.19,0.25,0.85,NA,NA,NA,NA,22.27,66.14,NA,162.02,NA,NA,NA,715.79,NA
2025-01-05 00:00:00,67.07,117.64,1.25,3.71,4.00,2.11,6.70,0.43,36.26,0.21,0.60,NA,NA,NA,NA,22.78,65.44,NA,146.85,NA,NA,NA,715.83,NA
2025-01-06 00:00:00,64.32,116.33,1.26,3.75,4.04,2.10,7.55,0.38,36.12,0.21,0.70,NA,NA,NA,NA,22.78,64.78,NA,152.95,NA,NA,NA,715.45,NA
2025-01-07 00:00:00,55.72,119.53,1.32,3.77,4.15,2.10,10.37,0.57,36.16,0.29,1.01,NA,NA,NA,NA,22.95,65.46,NA,186.10,NA,NA,NA,715.51,NA
2025-01-08 00:00:00,56.21,104.34,1.28,3.71,4.05,2.10,11.74,0.45,36.07,0.35,1.18,NA,NA,NA,NA,23.25,59.02,NA,156.76,NA,NA,NA,715.11,NA
2025-01-09 00:00:00,73.66,128.35,1.26,3.86,4.10,2.09,8.09,0.42,29.99,0.21,0.72,NA,NA,NA,NA,22.30,68.54,NA,143.79,NA,NA,NA,716.16,NA
2025-01-10 00:00:00,71.18,116.39,1.27,3.80,4.08,2.10,12.67,0.46,27.03,0.37,1.30,NA,NA,NA,NA,22.68,72.56,NA,144.73,NA,NA,NA,717.33,NA
