Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,64.85,102.15,4.14,32.06,36.48,27.88,11.77,0.61,22.69,17.63,2.28,NA,NA,0.14,0.11,18.87,39.20,5.95,110.79,0.00,0.00,159.88,988.10,NA
2025-01-02 00:00:00,72.53,109.83,5.63,34.56,40.42,30.07,11.62,0.67,23.91,11.80,3.19,NA,NA,0.14,0.10,22.07,41.77,4.92,125.37,0.00,0.00,191.14,977.69,NA
2025-01-03 00:00:00,67.11,104.41,7.17,37.15,44.42,32.48,11.57,0.74,25.18,4.02,3.25,NA,NA,0.15,0.07,20.25,39.38,4.59,111.57,0.00,0.00,162.04,979.26,NA
2025-01-04 00:00:00,74.11,111.30,7.17,37.03,44.32,32.53,11.78,0.74,25.18,3.92,3.47,NA,NA,0.14,0.07,16.93,39.97,4.69,118.69,0.00,0.00,169.22,976.81,NA
2025-01-05 00:00:00,69.74,107.04,7.13,37.13,44.40,32.36,11.62,0.73,25.00,3.61,2.80,NA,NA,0.15,0.06,21.48,30.01,4.72,124.58,0.00,0.00,48.06,966.85,NA
2025-01-06 00:00:00,77.57,115.80,6.13,33.62,39.88,29.72,11.98,0.63,24.01,2.80,3.51,NA,NA,0.15,0.06,19.62,38.88,4.44,123.93,0.00,0.00,155.93,969.08,NA
2025-01-07 00:00:00,74.90,114.20,5.14,30.13,35.34,27.11,11.65,0.53,23.05,3.04,5.24,NA,NA,0.15,0.08,20.30,38.15,4.23,119.69,0.00,0.00,147.14,968.52,NA
2025-01-08 00:00:00,66.52,105.82,5.14,30.12,35.41,26.99,11.68,0.53,23.06,3.49,3.76,NA,NA,0.15,0.08,21.04,39.82,4.64,111.63,0.00,0.00,167.41,965.94,NA
2025-01-09 00:00:00,77.08,117.29,4.22,28.19,32.33,25.43,11.61,0.60,22.13,4.84,2.72,NA,NA,0.15,0.05,19.27,37.89,5.28,120.26,0.00,0.00,143.97,975.67,NA
2025-01-10 00:00:00,73.76,110.58,4.26,24.19,32.00,23.64,11.76,0.84,23.18,2.90,4.26,NA,NA,0.15,0.06,20.05,33.82,4.77,119.20,0.00,0.00,94.40,986.31,NA
2025-01-11 00:00:00,51.83,94.09,6.15,24.09,37.44,25.05,11.62,0.94,26.03,3.29,3.67,NA,NA,0.15,0.05,20.40,31.56,4.43,119.32,0.00,0.00,66.93,986.79,NA
2025-01-12 00:00:00,40.27,82.53,6.17,24.17,37.27,24.94,11.55,0.94,26.11,3.41,2.26,NA,NA,0.15,0.05,21.49,37.74,4.53,119.23,0.00,0.00,142.11,981.05,NA
2025-01-13 00:00:00,31.67,73.90,6.15,24.07,37.36,25.10,11.69,0.93,26.18,4.27,2.17,NA,NA,0.14,0.04,21.49,33.28,5.15,116.69,0.00,0.00,87.82,970.99,NA
2025-01-14 00:00:00,23.05,65.31,6.14,24.11,37.39,25.03,11.59,0.93,25.97,10.68,1.68,NA,NA,0.15,0.06,21.39,34.97,5.38,119.21,0.00,0.00,108.38,980.69,NA
2025-01-15 00:00:00,25.06,67.32,6.15,24.06,37.35,25.04,11.70,0.93,26.03,12.26,2.23,NA,NA,0.15,0.09,19.42,36.16,5.73,116.21,0.00,0.00,122.89,989.41,NA
2025-01-16 00:00:00,51.08,93.34,6.17,24.21,37.30,25.07,11.57,0.94,26.13,10.66,3.62,NA,NA,0.15,0.08,NA,NA,NA,NA,0.00,0.00,NA,NA,NA
2025-01-17 00:00:00,66.25,108.51,6.17,24.07,37.47,25.04,11.53,0.94,26.15,10.94,3.10,NA,NA,0.15,0.07,NA,NA,NA,NA,0.00,0.00,NA,NA,NA
2025-01-18 00:00:00,60.53,102.79,6.15,24.22,37.36,24.93,11.63,0.93,26.01,4.82,2.11,NA,NA,0.15,0.05,NA,NA,NA,NA,0.00,0.00,NA,NA,NA
