Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,37.71,74.41,15.64,10.65,25.13,10.37,5.34,0.41,24.08,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02 00:00:00,50.29,100.17,17.31,11.77,27.92,11.37,5.45,0.47,24.07,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-03 00:00:00,56.86,112.71,16.39,11.09,26.32,10.83,5.06,0.51,24.07,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-04 00:00:00,47.86,94.72,15.32,10.42,24.59,10.15,4.35,0.50,24.06,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-05 00:00:00,60.01,119.22,14.11,9.67,22.62,9.49,4.19,0.49,24.07,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-06 00:00:00,66.44,131.86,15.52,10.53,24.89,10.30,4.11,0.60,24.07,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-07 00:00:00,57.38,113.76,18.12,12.25,29.21,11.90,4.12,0.61,24.06,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-08 00:00:00,57.84,114.67,19.23,12.98,31.05,12.64,3.62,0.66,24.07,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-09 00:00:00,62.15,123.31,16.43,10.92,26.19,10.90,2.69,0.67,24.08,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-10 00:00:00,60.94,120.88,16.94,11.49,27.27,11.13,2.53,0.76,24.09,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-11 00:00:00,58.47,115.88,15.30,10.27,24.41,10.20,4.85,0.77,24.11,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-12 00:00:00,58.45,115.90,15.58,10.59,25.02,10.36,7.69,0.76,24.10,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-13 00:00:00,57.05,112.71,17.33,11.65,27.82,11.53,8.34,0.79,24.07,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-14 00:00:00,39.46,77.93,18.02,12.15,29.01,11.83,8.63,0.79,24.08,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-15 00:00:00,28.80,56.61,17.40,11.74,27.98,11.49,7.77,0.71,24.08,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-16 00:00:00,33.07,65.14,16.81,11.24,26.89,11.15,7.08,0.74,24.09,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-17 00:00:00,43.29,85.59,17.70,12.00,28.54,11.64,7.48,0.79,24.09,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-18 00:00:00,56.91,112.82,16.35,11.04,26.23,10.83,6.94,0.80,24.06,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-19 00:00:00,56.22,111.44,15.70,10.63,25.18,10.46,6.65,0.89,24.08,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-20 00:00:00,40.19,79.49,15.56,10.49,24.89,10.34,6.38,0.85,24.08,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-21 00:00:00,50.04,99.08,16.76,11.11,26.71,11.10,6.60,0.84,24.07,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-22 00:00:00,51.07,101.14,16.09,10.88,25.82,10.74,6.63,0.83,24.10,0.57,0.85,NA,NA,0.68,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA
