Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,50.12,121.14,5.98,13.26,11.89,14.32,6.69,0.49,68.13,1.61,3.66,,,0.88,2.04,22.43,64.49,1.26,120.72,0.0,0.0,216.31,936.54,
2024-01-02,54.23,133.23,5.97,13.25,11.87,14.3,6.68,0.51,70.75,1.61,3.66,,,0.88,2.04,22.35,66.83,1.41,106.24,0.0,0.0,187.69,925.84,
2024-01-03,55.37,136.58,5.97,13.26,11.88,14.3,6.68,0.5,71.99,1.61,3.66,,,0.88,2.04,22.11,66.89,1.4,110.05,0.0,0.0,149.14,927.22,
2024-01-04,61.23,153.83,5.97,13.27,11.87,14.3,6.68,0.5,62.6,1.61,3.66,,,0.88,2.04,22.25,70.28,1.29,132.95,0.0,0.0,112.74,930.55,
2024-01-05,53.8,131.97,5.98,13.27,11.85,14.32,6.69,0.49,64.32,1.36,2.34,,,0.68,0.51,22.71,73.15,1.47,127.33,0.0,0.0,194.54,930.7,
2024-01-06,50.08,121.03,5.97,13.29,11.87,14.3,6.68,0.5,54.35,1.36,2.35,,,0.68,0.51,22.94,71.58,1.56,103.89,0.0,0.0,200.59,930.85,
2024-01-07,43.07,100.41,5.97,13.25,11.86,14.3,6.68,0.5,56.49,1.36,2.33,,,0.68,0.51,23.01,68.36,1.72,98.34,0.01,0.01,239.42,928.16,
2024-01-08,31.75,67.1,5.96,13.26,11.87,14.31,6.67,0.49,37.67,1.36,2.34,,,0.68,0.51,21.18,84.25,1.81,99.62,0.04,0.04,79.98,925.77,
2024-01-09,40.82,93.79,5.98,13.26,11.86,14.31,6.69,0.49,55.26,1.36,2.34,,,0.68,0.51,21.81,69.55,1.85,95.25,0.0,0.0,139.54,926.56,
2024-01-10,49.36,118.9,5.95,13.28,11.88,14.3,6.65,0.5,71.13,1.35,2.34,,,0.68,0.51,22.23,61.74,1.81,102.9,0.0,0.0,153.61,931.18,
