Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,33.45,43.57,8.06,26.23,36.96,25.43,12.05,0.72,30.10,NA,1.54,NA,NA,0.62,0.49,22.66,69.45,1.30,56.07,0.00,0.00,226.50,915.31,NA
2025-01-02 00:00:00,33.04,42.99,8.45,28.66,42.05,26.30,11.84,0.70,28.95,NA,1.55,NA,NA,0.61,0.48,22.39,66.57,1.47,66.70,0.00,0.00,222.28,916.04,NA
2025-01-03 00:00:00,33.85,44.15,8.22,32.59,45.84,29.46,11.74,0.72,29.02,NA,1.74,NA,NA,0.53,0.55,22.27,67.33,1.34,104.95,0.00,0.00,229.86,917.41,NA
2025-01-04 00:00:00,34.10,44.50,8.46,36.32,50.19,34.37,11.73,0.72,29.01,NA,2.01,NA,NA,0.41,0.65,21.54,67.20,1.36,86.58,0.00,0.00,223.60,917.49,NA
2025-01-05 00:00:00,34.23,44.68,7.08,34.99,46.94,38.15,11.80,0.71,28.96,NA,2.01,NA,NA,0.41,0.65,22.07,67.42,1.29,84.55,0.00,0.00,212.10,917.14,NA
2025-01-06 00:00:00,34.01,44.37,7.55,35.03,45.42,33.21,11.84,0.71,28.97,NA,1.95,NA,NA,0.53,0.53,22.32,65.69,1.32,101.86,0.00,0.00,217.52,914.82,NA
2025-01-07 00:00:00,34.28,44.76,8.17,35.15,44.55,29.08,11.90,0.73,29.06,NA,1.88,NA,NA,0.65,0.41,22.59,65.93,1.26,112.99,0.00,0.00,219.28,917.21,NA
2025-01-08 00:00:00,30.73,39.69,6.70,32.15,39.55,26.63,11.75,0.74,29.11,NA,1.74,NA,NA,0.56,0.52,22.76,59.28,1.22,113.16,0.00,0.00,230.48,916.63,NA
2025-01-09 00:00:00,27.34,34.85,5.15,29.22,34.58,24.17,11.66,0.72,29.04,NA,1.59,NA,NA,0.47,0.64,21.61,71.28,1.47,116.48,0.00,0.00,211.07,906.98,NA
2025-01-10 00:00:00,27.45,35.00,6.68,31.70,38.73,27.75,11.75,0.73,29.06,NA,1.76,NA,NA,0.57,0.55,22.12,76.66,1.49,134.16,0.00,0.00,137.43,907.30,NA
2025-01-11 00:00:00,27.49,35.05,8.14,34.45,42.66,30.98,11.99,0.72,29.00,NA,1.95,NA,NA,0.67,0.46,21.23,87.19,1.48,101.38,0.00,0.00,12.43,907.81,NA
2025-01-12 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-13 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
