Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,23.74,46.77,12.94,9.87,22.82,8.88,12.23,0.40,47.21,NA,NA,NA,NA,NA,NA,NA,71.17,2.37,196.91,NA,NA,NA,NA,NA
2025-01-02 00:00:00,41.35,78.41,14.56,9.12,23.67,10.37,11.51,0.40,42.66,NA,NA,NA,NA,NA,NA,NA,63.99,2.13,177.04,NA,NA,NA,NA,NA
2025-01-03 00:00:00,33.65,66.27,14.70,8.28,22.98,10.08,11.70,0.40,35.15,NA,NA,NA,NA,NA,NA,NA,51.56,1.72,142.64,NA,NA,NA,NA,NA
2025-01-04 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-05 00:00:00,51.40,83.44,11.56,10.01,21.57,9.00,23.49,0.54,42.33,NA,NA,NA,NA,NA,NA,NA,62.11,2.07,171.83,NA,NA,NA,NA,NA
2025-01-06 00:00:00,41.95,69.69,13.61,9.87,23.49,11.10,13.59,0.52,44.17,NA,NA,NA,NA,NA,NA,NA,64.54,2.18,181.32,NA,NA,NA,NA,NA
2025-01-07 00:00:00,NA,76.48,19.45,7.33,26.78,16.61,12.87,0.49,53.15,NA,NA,NA,NA,NA,NA,NA,75.83,2.65,220.14,NA,NA,NA,NA,NA
2025-01-08 00:00:00,NA,80.39,17.79,7.77,25.56,14.93,13.11,0.49,55.66,NA,NA,NA,NA,NA,NA,NA,73.53,2.78,230.99,NA,NA,NA,NA,NA
2025-01-09 00:00:00,21.03,84.11,16.23,8.21,24.44,12.76,12.81,0.43,59.91,NA,NA,NA,NA,NA,NA,NA,77.18,3.00,249.26,NA,NA,NA,NA,NA
2025-01-10 00:00:00,23.47,47.40,12.83,9.91,22.74,8.84,14.41,0.40,46.73,NA,NA,NA,NA,NA,NA,NA,67.76,2.37,222.26,NA,NA,NA,NA,NA
2025-01-11 00:00:00,NA,86.81,17.54,9.04,26.57,14.39,24.11,0.45,55.38,NA,NA,NA,NA,NA,NA,NA,79.74,2.77,229.57,NA,NA,NA,NA,NA
2025-01-12 00:00:00,NA,71.71,18.75,8.22,26.58,15.19,23.54,0.45,50.17,NA,NA,NA,NA,NA,NA,NA,74.34,2.51,208.24,NA,NA,NA,NA,NA
2025-01-13 00:00:00,NA,93.40,27.33,5.57,31.90,24.71,21.97,0.46,56.54,NA,NA,NA,NA,NA,NA,NA,84.69,2.82,234.30,NA,NA,NA,NA,NA
2025-01-14 00:00:00,NA,57.57,17.72,8.64,26.36,13.63,23.56,0.46,51.26,NA,NA,NA,NA,NA,NA,NA,75.34,2.56,212.88,NA,NA,NA,NA,NA
2025-01-15 00:00:00,NA,61.40,18.81,8.39,26.69,15.37,23.25,0.45,52.60,NA,NA,NA,NA,NA,NA,NA,78.89,2.63,218.27,NA,NA,NA,NA,NA
2025-01-16 00:00:00,NA,44.65,25.09,9.72,29.72,22.71,23.41,0.47,50.19,NA,NA,NA,NA,NA,NA,NA,74.54,2.48,206.23,NA,NA,NA,NA,NA
2025-01-17 00:00:00,NA,76.10,12.76,9.77,22.53,9.18,25.06,0.46,59.06,NA,NA,NA,NA,NA,NA,NA,82.07,2.95,245.11,NA,NA,NA,NA,NA
2025-01-18 00:00:00,NA,53.94,17.59,7.82,25.41,14.06,24.02,0.51,57.86,NA,NA,NA,NA,NA,NA,NA,82.20,2.89,240.10,NA,NA,NA,NA,NA
2025-01-19 00:00:00,NA,84.14,16.62,8.12,24.74,13.10,24.85,0.50,56.33,NA,NA,NA,NA,NA,NA,NA,74.49,2.79,231.71,NA,NA,NA,NA,NA
2025-01-20 00:00:00,NA,47.78,16.42,8.03,24.45,12.95,24.03,0.55,53.60,NA,NA,NA,NA,NA,NA,NA,63.73,2.66,220.59,NA,NA,NA,NA,NA
2025-01-21 00:00:00,NA,63.19,13.57,8.88,22.45,9.60,37.50,0.68,44.98,NA,NA,NA,NA,NA,NA,NA,53.86,2.25,186.73,NA,NA,NA,NA,NA
2025-01-22 00:00:00,NA,61.99,11.07,9.98,21.04,7.29,27.90,0.51,55.49,NA,NA,NA,NA,NA,NA,NA,70.30,2.78,230.43,NA,NA,NA,NA,NA
2025-01-23 00:00:00,NA,73.38,11.44,10.10,21.55,8.59,28.59,0.47,49.15,NA,NA,NA,NA,NA,NA,NA,71.18,2.43,202.09,NA,NA,NA,NA,NA
2025-01-24 00:00:00,NA,61.11,12.73,10.05,22.78,10.06,29.79,0.45,46.31,NA,NA,NA,NA,NA,NA,NA,68.54,2.28,189.63,NA,NA,NA,NA,NA
2025-01-25 00:00:00,NA,80.01,12.42,9.96,22.39,9.51,28.44,0.53,36.63,NA,NA,NA,NA,NA,NA,NA,54.18,1.81,149.91,NA,NA,NA,NA,NA
2025-01-26 00:00:00,NA,57.30,14.25,8.89,23.14,10.83,28.41,0.54,44.63,NA,NA,NA,NA,NA,NA,NA,59.58,2.22,184.04,NA,NA,NA,NA,NA
2025-01-27 00:00:00,NA,73.42,15.06,8.32,23.38,11.04,28.06,0.56,48.42,NA,NA,NA,NA,NA,NA,NA,60.29,2.44,202.27,NA,NA,NA,NA,NA
2025-01-28 00:00:00,NA,47.00,21.95,5.70,27.65,19.09,26.62,0.57,40.62,NA,NA,NA,NA,NA,NA,NA,60.29,2.01,166.81,NA,NA,NA,NA,NA
2025-01-29 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-30 00:00:00,NA,293.73,11.32,9.96,21.27,7.54,38.37,0.51,53.92,NA,NA,NA,NA,NA,NA,NA,75.26,2.51,208.23,NA,NA,NA,NA,NA
2025-01-31 00:00:00,NA,67.50,12.26,9.84,22.10,8.38,30.01,0.60,42.28,NA,NA,NA,NA,NA,NA,NA,54.24,2.05,170.28,NA,NA,NA,NA,NA
2025-02-01 00:00:00,NA,56.20,15.17,8.46,23.63,10.30,27.36,0.57,47.27,NA,NA,NA,NA,NA,NA,NA,69.02,2.36,196.18,NA,NA,NA,NA,NA
2025-02-02 00:00:00,NA,73.19,13.98,8.99,22.97,9.23,27.63,0.57,39.52,NA,NA,NA,NA,NA,NA,NA,55.49,1.98,164.00,NA,NA,NA,NA,NA
