Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,18.13,73.24,3.89,12.59,15.93,7.89,4.76,0.74,58.01,0.1,0.3,,,0.25,0.15,24.18,53.4,5.85,172.66,0.0,0.0,228.64,709.54,
2024-01-02,23.31,77.13,3.89,12.59,15.93,7.89,4.46,0.75,61.5,0.1,0.3,,,0.25,0.15,24.73,52.87,6.22,169.02,0.0,0.0,274.28,705.88,
2024-01-03,17.69,82.04,3.89,12.59,15.93,7.89,6.22,0.99,57.5,0.1,0.3,,,0.25,0.15,24.8,54.91,7.06,172.51,0.0,0.0,222.73,,
2024-01-04,13.06,72.04,3.89,12.59,15.92,7.89,5.61,0.86,48.96,0.1,0.3,,,0.25,0.15,24.89,56.55,8.62,172.47,0.0,0.0,224.07,717.34,
2024-01-05,11.83,79.1,3.89,12.59,15.93,7.9,1.1,1.06,37.36,0.1,0.3,,,0.25,0.15,24.53,65.59,8.17,167.97,0.0,0.0,241.27,722.32,
2024-01-06,13.48,63.78,3.89,12.59,15.93,7.89,2.34,0.89,35.84,0.1,0.3,,,0.25,0.15,24.68,71.07,5.77,169.58,0.01,0.01,226.76,,
2024-01-07,14.34,61.12,3.89,12.59,15.93,7.89,2.05,0.24,48.08,0.1,0.3,,,0.25,0.15,25.27,57.68,5.13,172.66,0.0,0.0,271.8,,
2024-01-08,20.63,62.91,3.89,12.59,15.93,7.89,4.83,0.84,48.27,0.1,0.3,,,0.25,0.15,24.84,62.28,5.22,174.16,0.0,0.0,249.07,,
2024-01-09,20.01,69.73,3.89,12.59,15.93,7.89,3.33,0.89,42.01,0.1,0.3,,,0.25,0.15,24.11,72.9,6.18,173.91,0.0,0.0,155.58,,
2024-01-10,22.77,85.38,3.89,12.59,15.93,7.89,6.47,0.56,58.54,0.1,0.3,,,0.25,0.15,25.34,53.97,5.95,173.22,0.0,0.0,265.23,,
2024-01-11,18.57,82.58,3.89,12.59,15.93,7.89,9.46,0.73,59.25,0.1,0.3,,,0.25,0.15,25.47,46.26,5.58,173.28,0.0,0.0,281.65,,
2024-01-12,20.72,80.53,3.89,12.59,15.93,7.89,11.81,0.75,65.8,0.1,0.3,,,0.25,0.15,25.43,40.14,4.29,171.03,0.0,0.0,293.82,,
2024-01-13,28.34,81.08,3.89,12.58,15.93,7.89,5.9,1.31,60.05,0.1,0.3,,,0.25,0.15,25.77,47.0,4.46,170.57,0.0,0.0,279.62,,
2024-01-14,20.74,78.71,3.89,12.6,15.93,7.9,8.53,0.33,59.74,0.1,0.3,,,0.25,0.15,25.39,45.42,5.19,172.68,0.0,0.0,271.44,,
2024-01-15,23.92,76.78,3.89,12.6,15.94,7.89,7.29,1.04,56.28,0.1,0.3,,,0.25,0.15,24.86,47.4,6.17,170.99,0.0,0.0,278.67,,
2024-01-16,15.12,75.15,3.89,12.59,15.93,7.89,6.39,1.12,63.26,0.1,0.3,,,0.25,0.15,24.87,50.79,7.15,166.59,0.0,0.0,275.22,,
2024-01-17,23.09,76.12,3.89,12.59,15.93,7.9,1.15,0.95,54.29,0.1,0.3,,,0.25,0.15,24.36,57.16,8.62,171.49,0.0,0.0,281.18,704.07,
2024-01-18,25.62,76.08,3.89,12.59,15.93,7.89,2.09,0.81,37.9,0.1,0.3,,,0.25,0.15,23.96,57.53,7.94,171.27,0.0,0.0,270.07,,
2024-01-19,25.12,81.11,3.89,12.59,15.92,7.89,4.16,1.14,24.61,0.1,0.3,,,0.25,0.15,24.49,56.29,6.81,169.81,0.0,0.0,266.3,704.66,
2024-01-20,23.02,67.4,3.89,12.6,15.93,7.89,2.48,1.18,24.94,0.1,0.3,,,0.25,0.15,25.03,60.22,8.83,171.1,0.0,0.0,268.87,718.81,
