Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,32.24,75.73,4.97,19.09,24.04,17.31,12.35,0.75,38.9,0.54,2.78,,,,0.46,,66.86,,,,,130.37,906.91,
2024-01-02,37.01,86.17,5.05,19.29,24.42,15.24,12.81,0.75,42.49,0.75,2.73,,,,0.32,,70.38,,,,,101.73,914.07,
2024-01-03,25.86,84.28,5.01,19.67,24.66,5.01,12.0,0.72,43.63,1.16,2.72,,,,1.63,,72.13,,,,,62.43,917.86,
2024-01-04,28.55,89.25,4.78,18.93,23.7,4.74,12.29,0.89,38.49,0.74,2.62,,,,0.31,,78.15,,,,,34.43,929.87,
2024-01-05,22.5,71.64,5.22,19.72,24.92,5.22,12.48,1.02,37.38,0.6,1.99,,,,0.38,,80.3,,,,,97.7,934.32,
2024-01-06,19.22,63.61,4.99,19.5,24.42,4.97,13.22,1.08,40.28,0.55,1.35,,,,0.5,,77.05,,,,,118.62,927.56,
2024-01-07,17.4,48.41,4.72,18.87,23.58,4.72,11.93,0.94,41.62,0.12,0.6,,,,,,72.0,,,,,128.55,917.93,
2024-01-08,19.84,46.83,4.9,19.36,24.24,4.91,13.16,1.0,41.08,0.27,0.97,,,,0.24,,95.56,,,,,30.07,966.88,
2024-01-09,25.25,70.89,5.03,19.86,24.89,5.03,12.19,0.89,25.16,0.35,1.2,,,,0.17,,75.44,,,,,65.86,925.98,
2024-01-10,27.02,82.74,4.88,19.2,24.07,4.88,12.3,0.71,33.55,0.27,0.85,,,,0.05,,61.42,,,,,82.54,896.61,
2024-01-11,40.45,96.49,4.89,19.07,23.94,4.89,12.71,0.78,39.43,0.48,1.09,,,,0.54,,64.45,,,,,161.28,901.56,
2024-01-12,51.59,113.31,4.82,18.99,23.79,12.23,12.47,0.74,36.98,0.35,0.91,,,,0.64,,60.0,,,,,160.5,893.54,
2024-01-13,59.72,133.63,4.85,19.2,24.08,19.86,12.81,0.81,36.9,0.52,1.13,,,,0.73,,71.37,,,,,131.12,917.24,
2024-01-14,59.74,133.68,5.07,19.68,24.74,20.07,12.45,0.78,36.83,0.11,1.16,,,,,,63.25,,,,,150.44,900.46,
2024-01-15,59.23,132.39,4.72,19.06,23.76,19.72,12.68,0.76,36.9,0.03,0.98,,,,,,60.78,,,,,150.75,895.36,
