Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,50.10,98.33,7.09,17.04,24.10,12.09,7.78,0.87,32.35,0.65,1.87,NA,NA,NA,0.65,NA,62.63,NA,NA,NA,NA,148.92,952.63,NA
2025-01-02 00:00:00,48.15,94.52,6.92,16.95,23.89,11.92,7.39,0.72,32.49,0.75,1.65,NA,NA,NA,0.53,NA,60.82,NA,NA,NA,NA,137.75,952.53,NA
2025-01-03 00:00:00,43.45,85.30,6.80,16.74,23.52,11.80,7.23,0.80,33.94,0.74,1.67,NA,NA,NA,0.56,NA,59.95,NA,NA,NA,NA,148.34,952.57,NA
2025-01-04 00:00:00,51.16,100.42,6.85,16.79,23.60,11.85,7.43,0.80,32.61,0.66,1.92,NA,NA,NA,0.71,NA,61.15,NA,NA,NA,NA,148.81,952.37,NA
2025-01-05 00:00:00,45.60,89.51,6.89,17.17,24.09,11.89,7.20,1.01,32.13,0.65,1.92,NA,NA,NA,0.72,NA,61.70,NA,NA,NA,NA,141.54,952.37,NA
2025-01-06 00:00:00,50.15,98.44,7.10,16.77,23.85,12.10,7.50,0.93,32.06,0.76,2.05,NA,NA,NA,0.61,NA,59.91,NA,NA,NA,NA,144.23,952.27,NA
2025-01-07 00:00:00,48.11,94.44,6.88,16.84,23.64,11.88,7.07,1.06,32.06,0.78,2.02,NA,NA,NA,0.59,NA,58.80,NA,NA,NA,NA,137.75,952.29,NA
2025-01-08 00:00:00,44.54,87.44,6.07,16.21,25.76,11.95,7.33,0.90,32.65,0.58,1.79,NA,NA,NA,0.57,NA,51.71,NA,NA,NA,NA,154.00,952.22,NA
2025-01-09 00:00:00,52.29,102.62,4.65,13.76,18.87,11.65,7.31,0.53,29.11,0.53,1.78,NA,NA,NA,0.52,NA,65.67,NA,NA,NA,NA,138.56,952.44,NA
2025-01-10 00:00:00,52.44,102.92,4.41,13.48,18.39,11.41,7.71,0.94,23.06,0.57,2.09,NA,NA,NA,0.54,NA,74.78,NA,NA,NA,NA,86.65,952.73,NA
2025-01-11 00:00:00,43.25,84.89,4.55,13.51,18.56,11.55,7.82,0.75,23.06,0.47,2.21,NA,NA,NA,0.44,NA,80.75,NA,NA,NA,NA,32.81,952.76,NA
2025-01-12 00:00:00,38.46,75.52,4.55,13.69,18.75,11.40,7.23,0.67,22.51,0.47,2.21,NA,NA,NA,0.45,NA,70.02,NA,NA,NA,NA,126.50,952.63,NA
2025-01-13 00:00:00,35.16,69.03,4.57,13.63,18.69,11.57,7.46,1.08,9.62,0.55,2.07,NA,NA,NA,0.57,NA,78.23,NA,NA,NA,NA,81.31,952.41,NA
2025-01-14 00:00:00,30.89,60.66,4.50,13.39,18.40,11.50,7.72,0.61,NA,0.67,1.84,NA,NA,NA,0.75,NA,76.05,NA,NA,NA,NA,85.82,952.67,NA
2025-01-15 00:00:00,34.56,67.85,4.56,13.55,18.57,11.56,7.47,0.96,16.24,0.67,1.84,NA,NA,NA,0.75,NA,73.00,NA,NA,NA,NA,88.86,952.87,NA
2025-01-16 00:00:00,41.35,81.18,4.54,13.38,18.42,11.49,7.15,1.02,27.40,0.84,1.88,NA,NA,NA,0.58,NA,66.78,NA,NA,NA,NA,137.40,952.79,NA
2025-01-17 00:00:00,46.92,92.04,4.53,13.22,18.16,11.53,7.40,0.51,15.55,0.96,1.92,NA,NA,NA,0.45,NA,69.80,NA,NA,NA,NA,120.92,952.49,NA
2025-01-18 00:00:00,52.66,103.34,4.24,13.62,18.31,11.24,7.93,0.82,12.23,0.97,1.92,NA,NA,NA,0.45,NA,64.32,NA,NA,NA,NA,124.10,952.36,NA
2025-01-19 00:00:00,36.73,72.11,4.42,13.71,18.63,11.36,7.53,0.94,11.68,0.97,1.92,NA,NA,NA,0.45,NA,91.00,NA,NA,NA,NA,35.78,952.55,NA
2025-01-20 00:00:00,36.16,70.99,4.28,13.81,18.55,11.28,7.82,0.71,29.71,0.79,1.71,NA,NA,NA,0.55,NA,60.87,NA,NA,NA,NA,173.38,952.33,NA
2025-01-21 00:00:00,49.45,97.05,4.36,13.50,18.31,11.36,7.78,0.92,31.22,0.79,1.74,NA,NA,NA,0.76,NA,51.87,NA,NA,NA,NA,159.96,952.12,NA
2025-01-22 00:00:00,44.55,87.43,4.49,13.70,18.66,11.60,7.80,1.18,32.59,0.85,2.14,NA,NA,NA,0.68,NA,51.15,NA,NA,NA,NA,155.00,952.11,NA
2025-01-23 00:00:00,43.65,85.69,4.35,13.66,18.50,11.35,7.64,0.84,32.60,0.79,2.31,NA,NA,NA,0.55,NA,64.68,NA,NA,NA,NA,138.96,952.15,NA
2025-01-24 00:00:00,37.16,72.95,4.39,13.70,18.58,11.40,7.78,1.01,32.59,0.87,2.10,NA,NA,NA,0.42,NA,61.06,NA,NA,NA,NA,165.42,952.10,NA
2025-01-25 00:00:00,47.81,93.85,4.45,13.66,18.58,11.45,7.58,0.62,32.63,1.00,1.77,NA,NA,NA,0.24,NA,54.14,NA,NA,NA,NA,158.19,952.24,NA
2025-01-26 00:00:00,37.09,72.82,4.52,13.81,18.81,11.47,7.37,0.48,32.58,0.99,1.77,NA,NA,NA,0.24,NA,41.44,NA,NA,NA,NA,173.39,952.21,NA
2025-01-27 00:00:00,41.02,80.53,4.45,13.49,18.40,11.45,NA,0.91,32.55,0.99,1.77,NA,NA,NA,0.23,NA,46.39,NA,NA,NA,NA,163.71,952.05,NA
2025-01-28 00:00:00,47.98,94.19,4.31,13.51,18.30,11.31,5.94,0.93,32.59,0.99,1.78,NA,NA,NA,0.24,NA,47.60,NA,NA,NA,NA,148.26,952.14,NA
2025-01-29 00:00:00,50.06,98.25,4.49,13.65,18.58,11.42,6.58,0.78,34.67,0.88,2.30,NA,NA,NA,0.39,NA,50.58,NA,NA,NA,NA,168.47,952.36,NA
2025-01-30 00:00:00,44.85,88.04,3.89,12.76,16.94,10.98,NA,1.62,36.55,0.79,2.76,NA,NA,NA,0.52,NA,77.79,NA,NA,NA,NA,48.29,952.35,NA
2025-01-31 00:00:00,42.42,83.28,5.58,15.63,21.72,12.60,8.08,0.78,34.85,1.91,4.09,NA,NA,NA,4.41,NA,61.32,NA,NA,NA,NA,148.91,952.11,NA
2025-02-01 00:00:00,41.54,81.55,6.57,17.54,24.66,13.57,8.30,0.94,10.06,0.98,4.65,NA,NA,NA,3.90,NA,58.50,NA,NA,NA,NA,135.93,952.25,NA
2025-02-02 00:00:00,37.21,73.09,6.68,17.68,24.85,13.57,8.03,0.92,11.96,0.85,4.64,NA,NA,NA,2.44,NA,44.94,NA,NA,NA,NA,165.31,952.29,NA
2025-02-03 00:00:00,40.28,79.08,6.66,17.74,24.90,13.66,8.13,1.00,38.15,0.85,4.64,NA,NA,NA,2.01,NA,35.53,NA,NA,NA,NA,171.06,952.39,NA
2025-02-04 00:00:00,41.09,80.66,8.83,18.72,28.04,15.45,8.62,1.55,38.15,0.88,4.64,NA,NA,NA,2.21,NA,33.26,NA,NA,NA,NA,171.44,952.67,NA
2025-02-05 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-06 00:00:00,38.21,74.95,6.77,17.55,24.81,13.84,7.75,0.02,62.09,0.81,4.64,NA,NA,NA,2.25,NA,22.49,NA,NA,NA,NA,232.48,952.20,NA
2025-02-07 00:00:00,41.22,80.93,6.82,17.68,25.02,13.82,8.21,1.05,62.09,0.81,4.64,NA,NA,NA,2.15,NA,35.14,NA,NA,NA,NA,233.68,952.55,NA
2025-02-08 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-09 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-10 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-11 00:00:00,42.03,82.50,6.75,17.53,24.76,13.30,7.70,1.02,36.41,0.88,4.65,NA,NA,NA,6.83,NA,15.85,NA,NA,NA,NA,136.82,952.49,NA
2025-02-12 00:00:00,44.58,87.51,6.70,17.64,24.82,13.70,7.75,1.09,NA,0.89,4.64,NA,NA,NA,4.75,NA,26.45,NA,NA,NA,NA,170.41,952.63,NA
2025-02-13 00:00:00,46.86,91.98,6.82,17.54,24.84,13.82,8.26,1.07,NA,0.94,4.65,NA,NA,NA,4.76,NA,27.64,NA,NA,NA,NA,153.50,952.56,NA
2025-02-14 00:00:00,46.95,92.15,6.73,17.59,24.80,13.73,7.53,1.12,NA,0.90,4.65,NA,NA,NA,3.90,NA,23.91,NA,NA,NA,NA,149.54,952.46,NA
2025-02-15 00:00:00,44.56,87.48,6.87,17.51,24.83,13.54,8.00,0.93,14.82,0.86,4.64,NA,NA,NA,2.67,NA,33.76,NA,NA,NA,NA,145.00,952.29,NA
2025-02-16 00:00:00,41.75,81.96,6.80,17.66,24.96,13.80,7.98,0.76,NA,0.82,4.63,NA,NA,NA,2.72,NA,30.66,NA,NA,NA,NA,151.84,952.37,NA
2025-02-17 00:00:00,43.79,85.95,6.87,17.68,25.02,13.87,7.97,0.99,NA,0.80,4.63,NA,NA,NA,2.02,NA,40.02,NA,NA,NA,NA,155.04,952.65,NA
2025-02-18 00:00:00,46.08,93.25,6.63,17.69,24.84,13.54,8.29,0.77,32.59,0.85,4.64,NA,NA,NA,2.50,NA,37.93,NA,NA,NA,NA,146.62,952.66,NA
2025-02-19 00:00:00,48.30,94.79,6.72,17.35,24.57,13.72,8.96,0.63,32.52,1.01,4.67,NA,NA,NA,5.21,NA,32.23,NA,NA,NA,NA,148.05,952.28,NA
2025-02-20 00:00:00,48.67,95.52,6.93,17.59,24.88,13.93,8.68,0.88,32.34,0.92,4.63,NA,NA,NA,2.48,NA,44.82,NA,NA,NA,NA,176.04,952.48,NA
2025-02-21 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-22 00:00:00,NA,NA,6.88,17.76,25.13,13.90,8.75,0.91,32.71,0.88,4.64,NA,NA,NA,3.71,NA,40.40,NA,NA,NA,NA,162.23,952.88,NA
2025-02-23 00:00:00,42.89,84.20,6.64,17.55,24.67,13.64,8.26,1.55,32.60,0.81,4.63,NA,NA,NA,2.22,NA,35.59,NA,NA,NA,NA,136.89,952.92,NA
2025-02-24 00:00:00,46.33,90.94,6.68,17.59,24.77,13.68,8.40,0.67,32.72,0.86,4.64,NA,NA,NA,2.66,NA,32.99,NA,NA,NA,NA,154.92,952.88,NA
2025-02-25 00:00:00,44.56,87.47,6.89,17.74,25.08,13.89,8.50,0.20,32.56,0.84,4.64,NA,NA,NA,3.58,NA,35.73,NA,NA,NA,NA,140.57,953.09,NA
2025-02-26 00:00:00,43.41,84.91,6.62,17.50,24.59,13.62,7.94,0.99,31.15,0.84,4.64,NA,NA,NA,3.82,NA,32.53,NA,NA,NA,NA,149.62,953.05,NA
2025-02-27 00:00:00,43.45,85.30,6.74,17.58,24.83,13.74,7.71,0.66,29.66,0.83,4.64,NA,NA,NA,3.25,NA,33.43,NA,NA,NA,NA,148.85,952.75,NA
2025-02-28 00:00:00,41.59,81.65,6.81,17.59,24.88,13.81,NA,0.30,29.57,0.86,4.64,NA,NA,NA,3.56,NA,38.57,NA,NA,NA,NA,130.68,952.51,NA
2025-03-01 00:00:00,35.85,70.40,6.74,17.42,24.65,13.73,7.97,0.72,29.54,0.81,4.63,NA,NA,NA,2.76,NA,58.78,NA,NA,NA,NA,115.26,952.38,NA
