Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,36.35,71.75,45.78,27.67,73.44,123.97,7.02,1.06,19.41,1.4,,,,2.02,2.46,26.43,54.19,0.66,174.74,,,,,
2024-01-02,45.91,84.11,24.27,24.93,49.2,130.1,7.06,1.05,19.42,1.39,,,,2.01,2.45,26.08,53.47,0.56,174.48,,,,,
2024-01-03,41.85,74.93,25.69,24.57,50.26,129.63,7.12,1.07,19.06,1.4,,,,2.02,2.46,26.78,54.91,0.65,254.49,,,,,
2024-01-04,41.73,69.99,21.49,22.73,44.22,131.62,6.81,1.03,19.45,1.37,,,,1.99,2.39,26.62,54.58,0.71,232.21,,,,,
2024-01-05,36.22,75.03,16.57,22.68,39.26,132.64,6.65,1.22,19.54,1.57,,,,2.19,2.79,27.75,56.9,0.71,218.34,,,,,
2024-01-06,36.94,67.38,19.48,21.85,41.33,132.01,6.75,1.15,19.66,1.49,,,,2.11,2.64,26.6,54.53,0.69,196.09,,,,,
2024-01-07,26.09,50.24,18.29,21.35,39.64,131.91,6.66,1.25,19.52,1.58,,,,2.2,2.83,26.76,54.86,0.91,257.94,,,,,
2024-01-08,26.17,58.05,17.69,22.22,39.92,132.04,6.68,1.22,19.41,1.56,,,,2.18,2.77,26.78,54.89,1.24,268.32,,,,,
2024-01-09,32.95,59.44,19.35,21.51,40.86,132.13,6.62,1.09,19.49,1.44,,,,2.06,2.54,26.17,53.65,1.13,260.48,,,,,
2024-01-10,32.52,65.59,14.94,22.72,37.67,133.15,6.7,1.01,19.46,1.35,,,,1.97,2.37,26.69,54.72,0.89,250.07,,,,,
2024-01-11,29.74,63.54,14.31,23.17,37.48,133.32,6.61,1.03,19.33,1.36,,,,1.98,2.38,27.95,57.29,0.94,239.71,,,,,
2024-01-12,28.09,72.37,12.36,24.21,36.57,133.64,6.62,0.96,19.63,1.3,,,,1.92,2.26,28.06,57.53,1.13,246.99,,,,,
2024-01-13,42.78,80.91,13.05,23.52,36.57,133.48,6.64,0.89,19.5,1.23,,,,1.85,2.13,27.73,56.85,0.6,198.4,,,,,
2024-01-14,42.67,77.52,11.97,23.48,35.44,133.27,6.63,0.88,19.63,1.22,,,,1.84,2.1,27.32,56.01,0.55,154.42,,,,,
2024-01-15,29.18,57.18,10.71,23.09,33.8,133.26,6.62,0.95,19.38,1.29,,,,1.91,2.24,27.38,56.13,0.64,152.5,,,,,
