Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,1.11,73.90,4.93,19.92,25.75,20.37,4.54,0.74,22.11,1.19,0.99,NA,NA,0.76,0.47,23.42,53.25,2.45,239.91,0.00,0.00,NA,NA,NA
2025-01-02 00:00:00,1.36,92.56,7.33,25.45,33.43,27.80,4.45,0.70,22.22,1.82,0.82,NA,NA,0.86,0.75,22.96,53.23,2.56,257.83,0.00,0.00,NA,NA,NA
2025-01-03 00:00:00,21.12,99.44,7.99,29.52,37.92,29.43,4.51,0.83,22.25,1.98,1.21,NA,NA,1.02,0.88,22.94,52.89,1.78,251.59,0.00,0.00,NA,NA,NA
2025-01-04 00:00:00,37.67,103.06,7.18,29.12,36.09,29.61,4.57,0.77,22.09,2.16,1.66,NA,NA,1.20,1.03,21.82,56.60,1.12,282.85,0.00,0.00,NA,NA,NA
2025-01-05 00:00:00,35.16,104.88,8.42,30.47,37.33,33.35,4.55,0.76,22.06,2.16,1.67,NA,NA,1.20,1.03,22.49,54.98,0.96,257.92,0.00,0.00,NA,NA,NA
2025-01-06 00:00:00,38.74,111.49,7.51,30.82,37.52,36.40,4.54,0.80,22.17,2.28,1.91,NA,NA,1.31,0.93,22.40,56.80,1.15,277.16,0.00,0.00,NA,NA,NA
2025-01-07 00:00:00,41.63,130.82,6.75,31.26,37.93,39.10,4.55,0.86,22.19,2.38,2.14,NA,NA,1.40,0.83,22.55,57.74,1.10,249.95,0.00,0.00,NA,NA,NA
2025-01-08 00:00:00,42.77,105.83,8.26,33.70,42.14,42.72,4.59,0.83,22.25,2.25,1.97,NA,NA,1.30,0.93,23.34,46.65,0.97,236.07,0.00,0.00,NA,NA,NA
2025-01-09 00:00:00,43.71,114.35,9.75,36.23,46.46,46.09,4.55,0.80,22.21,2.11,1.80,NA,NA,1.19,1.01,22.24,57.45,1.09,282.04,0.00,0.00,NA,NA,NA
2025-01-10 00:00:00,41.28,117.29,7.86,33.90,41.79,43.02,4.45,0.73,22.18,2.25,2.09,NA,NA,1.29,1.05,22.56,64.10,1.04,277.71,0.00,0.00,NA,NA,NA
2025-01-11 00:00:00,38.59,77.80,5.72,31.37,36.56,39.13,4.53,0.77,22.09,2.40,2.41,NA,NA,1.40,1.09,22.78,66.52,1.05,275.57,0.00,0.00,NA,NA,NA
2025-01-12 00:00:00,38.64,71.45,5.73,31.23,36.60,39.19,4.54,0.73,22.15,2.41,2.40,NA,NA,1.40,1.10,23.69,59.44,0.95,269.10,0.00,0.00,NA,NA,NA
