Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,NA,37.05,8.00,26.99,34.98,NA,5.60,0.70,NA,NA,NA,NA,NA,NA,NA,19.94,64.20,0.05,NA,NA,NA,117.31,NA,NA
2025-01-02 00:00:00,NA,39.20,8.02,28.32,36.35,NA,5.67,0.70,NA,NA,NA,NA,NA,NA,NA,19.28,64.16,0.04,NA,NA,NA,135.12,NA,NA
2025-01-03 00:00:00,NA,36.84,8.14,27.44,35.58,NA,5.60,0.69,NA,NA,NA,NA,NA,NA,NA,20.28,64.46,0.05,NA,NA,NA,133.74,NA,NA
2025-01-04 00:00:00,NA,35.51,8.24,30.64,38.88,NA,5.64,0.76,NA,NA,NA,NA,NA,NA,NA,18.77,64.40,0.06,NA,NA,NA,99.16,NA,NA
2025-01-05 00:00:00,NA,35.39,8.10,28.97,37.07,NA,5.62,0.74,NA,NA,NA,NA,NA,NA,NA,19.31,64.30,0.07,NA,NA,NA,103.46,NA,NA
2025-01-06 00:00:00,NA,35.53,8.30,31.19,39.49,NA,5.67,0.74,NA,NA,NA,NA,NA,NA,NA,19.56,64.11,0.06,NA,NA,NA,99.38,NA,NA
2025-01-07 00:00:00,NA,36.12,8.80,31.60,40.39,NA,5.64,0.75,NA,NA,NA,NA,NA,NA,NA,20.65,64.14,0.08,NA,NA,NA,94.74,NA,NA
2025-01-08 00:00:00,NA,34.64,7.98,28.72,36.70,NA,5.64,0.70,NA,NA,NA,NA,NA,NA,NA,19.95,64.30,0.07,NA,NA,NA,137.89,NA,NA
2025-01-09 00:00:00,NA,38.39,8.06,27.64,35.69,NA,5.67,0.82,NA,NA,NA,NA,NA,NA,NA,19.20,64.23,0.02,NA,NA,NA,200.80,NA,NA
2025-01-10 00:00:00,NA,36.42,8.05,28.31,36.35,NA,5.66,0.73,NA,NA,NA,NA,NA,NA,NA,19.78,64.12,0.03,NA,NA,NA,85.63,NA,NA
2025-01-11 00:00:00,NA,33.93,8.15,28.45,36.58,NA,5.63,0.76,NA,NA,NA,NA,NA,NA,NA,18.49,63.48,NA,NA,NA,NA,12.82,NA,NA
2025-01-12 00:00:00,NA,NA,8.02,27.41,35.43,NA,5.61,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-13 00:00:00,NA,NA,8.02,27.34,35.36,NA,5.64,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-14 00:00:00,NA,NA,7.92,26.08,34.00,NA,5.67,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-15 00:00:00,NA,NA,8.17,27.72,35.89,NA,5.64,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-16 00:00:00,NA,36.06,8.63,28.54,37.17,NA,5.61,0.76,NA,NA,NA,NA,NA,NA,NA,24.09,63.84,0.03,NA,NA,NA,180.81,NA,NA
2025-01-17 00:00:00,NA,34.30,7.92,27.61,35.53,NA,5.51,0.75,NA,NA,NA,NA,NA,NA,NA,19.50,63.39,0.03,NA,NA,NA,75.46,NA,NA
2025-01-18 00:00:00,NA,35.12,8.05,27.64,35.69,NA,5.68,0.88,NA,NA,NA,NA,NA,NA,NA,20.09,63.74,0.04,NA,NA,NA,91.88,NA,NA
2025-01-19 00:00:00,NA,34.77,8.04,26.69,34.73,NA,5.69,0.75,NA,NA,NA,NA,NA,NA,NA,19.13,63.52,0.07,NA,NA,NA,5.28,NA,NA
2025-01-20 00:00:00,NA,38.19,8.46,31.41,40.35,NA,5.52,0.71,NA,NA,NA,NA,NA,NA,NA,20.45,63.61,0.07,NA,NA,NA,9.62,NA,NA
2025-01-21 00:00:00,NA,35.50,8.26,29.83,38.08,NA,5.54,0.78,NA,NA,NA,NA,NA,NA,NA,20.15,63.41,0.06,NA,NA,NA,109.81,NA,NA
2025-01-22 00:00:00,NA,35.47,8.24,29.67,37.91,NA,5.66,0.80,NA,NA,NA,NA,NA,NA,NA,20.52,63.85,0.06,NA,NA,NA,125.73,NA,NA
2025-01-23 00:00:00,NA,33.95,7.83,28.12,35.94,NA,5.56,0.72,NA,NA,NA,NA,NA,NA,NA,21.11,63.92,0.04,NA,NA,NA,121.44,NA,NA
2025-01-24 00:00:00,NA,36.80,4.44,24.05,28.89,NA,5.54,0.81,NA,NA,NA,NA,NA,NA,NA,22.89,64.46,NA,NA,NA,NA,24.56,NA,NA
2025-01-25 00:00:00,NA,34.22,4.64,23.14,27.78,NA,5.60,0.81,NA,NA,NA,NA,NA,NA,NA,20.27,63.93,0.07,NA,NA,NA,111.94,NA,NA
2025-01-26 00:00:00,NA,34.18,4.01,20.69,24.69,NA,5.61,0.65,NA,NA,NA,NA,NA,NA,NA,20.97,64.14,0.06,NA,NA,NA,81.84,NA,NA
2025-01-27 00:00:00,NA,35.44,4.18,21.80,25.99,NA,5.60,0.71,NA,NA,NA,NA,NA,NA,NA,20.52,64.59,0.05,NA,NA,NA,119.60,NA,NA
2025-01-28 00:00:00,NA,36.35,4.02,21.48,25.50,NA,5.58,0.69,NA,NA,NA,NA,NA,NA,NA,20.42,64.71,0.08,NA,NA,NA,127.76,NA,NA
2025-01-29 00:00:00,NA,35.37,4.18,20.69,24.87,NA,5.20,0.78,NA,NA,NA,NA,NA,NA,NA,21.39,64.77,0.05,NA,NA,NA,156.39,NA,NA
2025-01-30 00:00:00,NA,36.77,4.33,22.28,26.61,NA,5.65,0.68,NA,NA,NA,NA,NA,NA,NA,20.48,64.75,0.04,NA,NA,NA,88.16,NA,NA
2025-01-31 00:00:00,NA,34.95,4.24,21.82,26.06,NA,5.64,0.72,NA,NA,NA,NA,NA,NA,NA,21.91,64.87,0.05,NA,NA,NA,90.62,NA,NA
2025-02-01 00:00:00,NA,34.70,4.23,21.63,25.85,NA,5.61,0.68,NA,NA,NA,NA,NA,NA,NA,21.83,64.68,0.08,NA,NA,NA,81.94,NA,NA
2025-02-02 00:00:00,NA,33.92,4.11,20.78,24.89,NA,5.72,0.81,NA,NA,NA,NA,NA,NA,NA,21.79,64.47,0.07,NA,NA,NA,135.76,NA,NA
2025-02-03 00:00:00,NA,34.06,4.39,23.47,27.86,NA,5.62,0.69,NA,NA,NA,NA,NA,NA,NA,20.91,64.64,0.04,NA,NA,NA,126.52,NA,NA
2025-02-04 00:00:00,NA,34.59,4.81,24.32,29.13,NA,5.83,0.76,NA,NA,NA,NA,NA,NA,NA,22.10,64.96,0.05,NA,NA,NA,146.93,NA,NA
2025-02-05 00:00:00,NA,36.78,4.28,23.24,27.51,NA,5.54,0.67,NA,NA,NA,NA,NA,NA,NA,22.28,65.08,0.07,NA,NA,NA,109.43,NA,NA
2025-02-06 00:00:00,NA,34.10,4.23,21.53,25.76,NA,5.86,0.71,NA,NA,NA,NA,NA,NA,NA,20.65,64.98,0.04,NA,NA,NA,92.16,NA,NA
2025-02-07 00:00:00,NA,34.27,4.16,22.80,26.96,NA,7.61,0.72,NA,NA,NA,NA,NA,NA,NA,20.72,65.09,0.02,NA,NA,NA,102.52,NA,NA
2025-02-08 00:00:00,NA,34.67,4.01,22.22,26.23,NA,5.63,0.69,NA,NA,NA,NA,NA,NA,NA,20.33,64.93,0.05,NA,NA,NA,94.07,NA,NA
2025-02-09 00:00:00,NA,35.09,3.90,20.59,24.50,NA,5.75,0.74,NA,NA,NA,NA,NA,NA,NA,20.49,64.78,0.08,NA,NA,NA,107.51,NA,NA
2025-02-10 00:00:00,NA,36.03,4.07,20.54,24.61,NA,5.68,0.68,NA,NA,NA,NA,NA,NA,NA,13.10,64.52,0.05,NA,NA,NA,110.50,NA,NA
2025-02-11 00:00:00,NA,34.92,4.36,22.49,26.57,NA,6.78,0.75,NA,NA,NA,NA,NA,NA,NA,12.00,64.63,0.04,NA,NA,NA,104.45,NA,NA
2025-02-12 00:00:00,NA,34.98,4.27,23.38,27.65,NA,7.12,0.68,NA,NA,NA,NA,NA,NA,NA,17.07,65.14,0.05,NA,NA,NA,108.00,NA,NA
2025-02-13 00:00:00,NA,35.66,4.03,22.67,26.71,NA,8.24,0.65,NA,NA,NA,NA,NA,NA,NA,17.02,65.29,0.08,NA,NA,NA,92.91,NA,NA
2025-02-14 00:00:00,NA,35.92,4.22,23.89,28.11,NA,4.09,0.69,NA,NA,NA,NA,NA,NA,NA,16.98,65.27,0.04,NA,NA,NA,86.50,NA,NA
2025-02-15 00:00:00,NA,34.06,4.05,22.09,26.14,NA,5.53,0.70,NA,NA,NA,NA,NA,NA,NA,16.48,65.09,0.09,NA,NA,NA,79.56,NA,NA
2025-02-16 00:00:00,NA,34.21,4.03,21.25,25.28,NA,5.07,0.74,NA,NA,NA,NA,NA,NA,NA,16.60,64.96,0.05,NA,NA,NA,94.52,NA,NA
2025-02-17 00:00:00,NA,34.88,3.95,20.65,24.60,NA,5.46,0.70,NA,NA,NA,NA,NA,NA,NA,16.52,65.02,0.03,NA,NA,NA,109.30,NA,NA
2025-02-18 00:00:00,NA,35.88,4.03,22.54,26.57,NA,4.96,0.73,NA,NA,NA,NA,NA,NA,NA,16.66,65.15,0.04,NA,NA,NA,104.26,NA,NA
2025-02-19 00:00:00,NA,35.56,4.15,23.23,27.31,NA,6.46,0.73,NA,NA,NA,NA,NA,NA,NA,16.95,65.21,0.04,NA,NA,NA,97.54,NA,NA
2025-02-20 00:00:00,NA,35.86,4.01,21.61,25.63,NA,6.21,0.76,NA,NA,NA,NA,NA,NA,NA,15.99,65.29,0.03,NA,NA,NA,105.94,NA,NA
2025-02-21 00:00:00,NA,35.29,3.97,22.08,26.05,NA,5.82,0.66,NA,NA,NA,NA,NA,NA,NA,16.91,65.08,0.02,NA,NA,NA,99.20,NA,NA
2025-02-22 00:00:00,NA,34.14,4.00,21.01,25.01,NA,6.74,0.64,NA,NA,NA,NA,NA,NA,NA,22.00,65.02,0.06,NA,NA,NA,127.45,NA,NA
2025-02-23 00:00:00,NA,34.24,3.91,20.18,24.10,NA,5.64,0.61,NA,NA,NA,NA,NA,NA,NA,23.60,65.07,0.04,NA,NA,NA,132.78,NA,NA
2025-02-24 00:00:00,NA,35.08,4.16,19.82,23.98,NA,5.62,0.64,NA,NA,NA,NA,NA,NA,NA,20.12,65.11,0.02,NA,NA,NA,114.55,NA,NA
2025-02-25 00:00:00,NA,35.87,4.05,19.78,23.83,NA,5.74,0.62,NA,NA,NA,NA,NA,NA,NA,4.21,64.60,0.04,NA,NA,NA,106.69,NA,NA
