Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,32.88,105.60,6.75,12.33,18.43,10.66,5.00,1.02,25.47,NA,NA,NA,NA,NA,NA,22.61,45.58,0.27,76.33,0.00,0.00,NA,939.19,NA
2025-01-02 00:00:00,32.54,117.20,6.76,12.31,18.44,10.59,5.99,1.09,25.48,NA,NA,NA,NA,NA,NA,22.22,43.77,0.36,96.88,0.00,0.00,NA,939.09,NA
2025-01-03 00:00:00,30.73,109.72,6.77,12.36,18.44,10.59,6.41,1.09,25.52,NA,NA,NA,NA,NA,NA,22.22,43.67,0.39,93.01,0.00,0.00,NA,939.21,NA
2025-01-04 00:00:00,29.03,120.99,6.77,12.33,18.44,10.58,6.81,1.16,25.51,NA,NA,NA,NA,NA,NA,21.43,44.65,0.42,114.03,0.00,0.00,NA,938.68,NA
2025-01-05 00:00:00,32.26,111.29,6.76,12.35,18.46,10.59,6.69,1.02,25.51,NA,NA,NA,NA,NA,NA,21.90,46.48,0.39,104.18,0.00,0.00,NA,938.67,NA
2025-01-06 00:00:00,33.19,118.24,6.77,12.30,18.45,10.59,7.28,1.02,25.51,0.52,NA,NA,NA,NA,NA,22.22,43.12,0.47,112.30,0.00,0.00,NA,938.36,NA
2025-01-07 00:00:00,31.83,130.89,6.75,12.32,18.45,10.61,5.77,1.22,25.43,0.59,NA,NA,NA,NA,NA,22.35,43.41,0.36,117.15,0.00,0.00,NA,938.43,NA
2025-01-08 00:00:00,32.88,110.23,6.74,12.32,18.43,10.60,5.41,1.06,25.42,0.65,NA,NA,NA,NA,NA,22.48,42.27,0.35,98.02,0.00,0.00,NA,938.22,NA
2025-01-09 00:00:00,33.42,125.60,6.76,12.39,18.46,10.59,6.73,1.06,25.50,0.65,NA,NA,NA,NA,NA,21.65,47.90,0.53,112.70,0.00,0.00,NA,938.86,NA
2025-01-10 00:00:00,32.21,126.69,6.76,12.37,18.46,10.60,6.35,1.12,25.48,0.59,NA,NA,NA,NA,NA,22.26,55.49,0.49,110.68,0.00,0.00,NA,939.59,NA
2025-01-11 00:00:00,27.28,109.41,6.79,12.34,18.41,10.60,6.22,1.19,25.61,0.47,NA,NA,NA,NA,NA,21.92,60.16,0.42,115.86,0.00,0.00,NA,940.18,NA
2025-01-12 00:00:00,30.29,92.33,6.75,12.36,18.44,10.59,5.67,0.99,25.44,0.46,NA,NA,NA,NA,NA,23.04,50.66,0.44,114.93,0.00,0.00,NA,939.23,NA
2025-01-13 00:00:00,27.41,76.03,6.75,12.37,18.45,10.58,5.98,0.96,25.45,0.46,NA,NA,NA,NA,NA,23.42,58.07,0.38,104.44,0.00,0.00,NA,938.55,NA
2025-01-14 00:00:00,26.64,64.13,6.78,12.35,18.46,10.56,7.24,0.91,25.57,0.47,NA,NA,NA,NA,NA,23.27,58.11,0.40,107.56,0.00,0.00,NA,939.26,NA
2025-01-15 00:00:00,27.43,71.93,6.77,12.33,18.45,10.55,6.40,1.00,25.52,0.47,NA,NA,NA,NA,NA,22.24,54.84,0.42,109.28,0.00,0.00,NA,939.83,NA
