Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,44.15,101.29,1.27,15.67,9.37,16.42,5.61,0.33,12.51,0.18,0.73,,,,,21.28,65.31,1.12,95.98,,0.0,,,
2024-01-02,46.58,96.74,1.31,15.2,9.14,16.6,6.85,0.3,2.04,0.16,0.69,,,,,21.38,66.98,1.28,91.38,,0.0,,,
2024-01-03,45.72,96.15,1.31,14.38,8.72,13.79,9.07,0.25,44.91,0.15,0.58,,,,,21.02,67.25,1.22,93.22,,0.0,,,
2024-01-04,46.78,111.41,1.29,15.19,9.12,11.39,7.12,0.34,36.26,0.19,0.79,,,,,21.14,70.71,1.12,96.33,,0.0,,,
2024-01-05,30.41,72.3,1.26,12.39,7.62,11.23,4.9,0.3,24.56,0.17,0.69,,,,,21.33,73.62,1.34,96.82,,0.0,,,
2024-01-06,28.51,67.88,1.28,12.58,7.72,10.91,5.76,0.3,16.67,0.16,0.7,,,,,21.91,71.29,1.37,91.26,,0.0,,,
2024-01-07,25.18,60.07,1.26,12.28,7.56,10.53,7.08,0.27,13.7,0.15,0.63,,,,,22.03,68.81,1.44,88.61,,0.0,,,
2024-01-08,16.84,40.23,1.29,13.27,8.1,9.51,5.86,0.24,14.57,0.13,0.55,,,,,20.22,80.96,1.39,87.89,,0.0,,,
2024-01-09,605.62,52.22,1.29,14.42,8.72,8.16,8.2,0.35,10.28,0.19,0.81,,,,,20.69,69.48,1.35,92.56,,0.0,,,
2024-01-10,594.04,94.59,1.25,13.91,8.42,8.32,6.48,0.31,11.35,0.17,0.72,,,,,21.03,63.64,1.5,89.52,,0.0,,,
2024-01-11,39.08,92.83,1.27,14.09,8.52,9.14,8.08,0.32,25.25,0.18,0.73,,,,,21.96,63.01,1.43,89.52,,0.0,,,
