Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,47.12,110.21,1.25,14.42,8.70,1.87,10.17,0.52,21.51,0.99,2.19,NA,NA,NA,NA,21.66,56.07,1.01,99.62,NA,0.00,NA,716.67,NA
2025-01-02 00:00:00,49.35,122.18,1.26,14.64,8.82,1.93,9.13,0.66,21.06,0.89,1.97,NA,NA,NA,NA,20.41,55.91,0.98,111.24,NA,0.00,NA,716.39,NA
2025-01-03 00:00:00,49.29,113.41,1.30,14.66,8.86,1.93,6.63,0.57,21.26,0.65,1.43,NA,NA,NA,NA,20.40,55.49,1.14,112.86,NA,0.00,NA,716.64,NA
2025-01-04 00:00:00,46.30,114.92,1.27,14.22,8.60,1.89,7.19,0.46,20.75,0.71,1.55,NA,NA,NA,NA,19.17,53.79,1.04,102.26,NA,0.00,NA,715.76,NA
2025-01-05 00:00:00,46.10,97.90,1.52,13.93,8.67,1.81,7.64,0.44,20.47,0.75,1.64,NA,NA,NA,NA,19.24,57.10,0.69,74.89,NA,0.00,NA,715.89,NA
2025-01-06 00:00:00,43.82,141.26,1.38,14.79,8.99,2.22,6.95,0.71,21.13,0.67,1.50,NA,NA,NA,NA,22.25,51.47,0.98,102.03,NA,0.00,NA,714.91,NA
2025-01-07 00:00:00,43.71,142.77,1.32,15.52,9.33,2.09,8.95,0.82,21.03,0.87,1.93,NA,NA,NA,NA,20.60,56.06,0.79,100.75,NA,0.00,NA,715.35,NA
2025-01-08 00:00:00,39.50,129.76,1.29,15.76,9.44,2.13,7.31,0.62,20.91,0.71,1.58,NA,NA,NA,NA,22.50,48.78,1.13,99.37,NA,0.00,NA,715.05,NA
2025-01-09 00:00:00,55.98,127.70,1.22,14.09,8.49,1.87,7.41,0.76,21.04,0.72,1.60,NA,NA,NA,NA,19.31,56.07,1.29,102.59,NA,0.00,NA,716.20,NA
2025-01-10 00:00:00,59.94,126.46,1.24,14.19,8.56,1.89,9.46,0.60,21.02,0.93,2.04,NA,NA,NA,NA,20.02,59.53,1.16,98.25,NA,0.00,NA,717.49,NA
2025-01-11 00:00:00,35.93,85.34,1.20,14.07,8.46,1.74,7.64,0.68,20.76,0.75,1.65,NA,NA,NA,NA,19.97,60.51,0.87,99.34,NA,0.00,NA,717.56,NA
2025-01-12 00:00:00,31.29,74.45,1.18,14.00,8.41,1.63,9.15,0.55,20.58,0.89,1.97,NA,NA,NA,NA,21.48,60.39,0.98,101.20,NA,0.00,NA,716.81,NA
2025-01-13 00:00:00,26.58,63.46,1.23,14.51,8.72,1.68,6.81,0.48,20.86,0.66,1.47,NA,NA,NA,NA,21.45,63.15,1.13,98.10,NA,0.00,NA,715.60,NA
2025-01-14 00:00:00,21.04,50.03,1.27,13.83,8.39,1.61,5.61,0.42,21.02,0.55,1.21,NA,NA,NA,NA,21.14,64.26,1.27,93.95,NA,0.00,NA,716.83,NA
2025-01-15 00:00:00,24.11,57.46,1.29,14.49,8.75,1.72,6.66,0.54,20.97,0.65,1.44,NA,NA,NA,NA,19.96,60.99,1.24,96.70,NA,0.00,NA,717.81,NA
2025-01-16 00:00:00,44.91,111.22,1.11,15.48,9.05,1.98,13.41,0.46,19.57,1.31,2.90,NA,NA,NA,NA,20.33,57.83,1.25,99.31,NA,0.00,NA,718.47,NA
2025-01-17 00:00:00,52.92,115.41,1.42,24.29,13.97,3.52,6.64,0.51,20.49,0.65,1.43,NA,NA,NA,NA,19.78,58.69,1.23,97.66,NA,0.00,NA,716.12,NA
2025-01-18 00:00:00,51.55,108.61,2.40,41.97,23.86,10.62,7.13,0.59,20.19,0.70,1.54,NA,NA,NA,NA,20.70,56.93,1.21,95.48,NA,0.00,NA,715.42,NA
2025-01-19 00:00:00,32.64,62.77,1.38,30.88,17.25,9.06,7.57,0.73,19.93,0.74,1.63,NA,NA,NA,NA,19.20,66.09,0.79,118.29,NA,0.00,NA,716.13,NA
2025-01-20 00:00:00,40.00,168.86,36.03,86.73,60.78,11.75,7.67,0.80,8.32,0.76,1.66,NA,NA,NA,NA,20.34,58.89,0.51,131.88,NA,0.00,NA,715.44,NA
2025-01-21 00:00:00,49.47,168.49,9.36,42.51,30.22,5.55,8.77,0.91,10.05,0.86,1.90,NA,NA,NA,NA,19.59,53.99,0.66,136.29,NA,0.00,NA,714.42,NA
2025-01-22 00:00:00,42.49,109.54,2.20,5.10,4.51,3.90,7.88,0.96,13.37,0.76,1.70,NA,NA,NA,NA,24.05,56.31,1.20,102.63,NA,0.00,NA,714.15,NA
2025-01-23 00:00:00,40.90,111.37,4.12,12.61,9.75,6.53,6.98,0.58,13.67,0.69,1.51,NA,NA,NA,NA,21.81,58.40,0.99,104.22,NA,0.00,NA,714.51,NA
2025-01-24 00:00:00,31.85,95.81,3.42,8.95,7.48,6.42,8.87,0.79,13.34,0.86,1.92,NA,NA,NA,NA,20.77,55.94,1.14,102.66,NA,0.00,NA,714.20,NA
2025-01-25 00:00:00,35.61,112.80,2.32,11.72,7.98,5.94,9.95,0.79,13.35,0.97,2.15,NA,NA,NA,NA,20.88,52.71,1.06,87.52,NA,0.00,NA,714.83,NA
2025-01-26 00:00:00,24.09,100.84,2.26,9.70,6.93,5.49,8.97,0.36,13.53,0.88,1.94,NA,NA,NA,NA,21.59,47.76,1.08,99.27,NA,0.00,NA,714.76,NA
2025-01-27 00:00:00,33.27,105.10,2.41,12.23,8.37,6.46,9.41,0.50,19.21,0.91,2.04,NA,NA,NA,NA,21.49,51.08,0.96,101.56,NA,0.00,NA,713.97,NA
2025-01-28 00:00:00,52.52,132.32,2.52,9.13,6.79,6.57,9.85,0.61,13.49,0.96,2.13,NA,NA,NA,NA,21.42,50.41,0.97,99.46,NA,0.00,NA,714.46,NA
2025-01-29 00:00:00,53.61,130.17,2.13,7.03,5.37,5.86,8.74,0.50,13.28,0.85,1.89,NA,NA,NA,NA,22.03,52.56,1.16,99.64,NA,0.00,NA,715.42,NA
2025-01-30 00:00:00,42.17,112.05,1.70,7.87,5.16,6.03,9.69,0.61,13.31,0.94,2.09,NA,NA,NA,NA,21.68,58.70,1.04,104.16,NA,0.00,NA,714.97,NA
2025-01-31 00:00:00,24.58,84.17,1.88,7.02,4.99,6.40,8.40,0.61,13.49,0.82,1.82,NA,NA,NA,NA,23.88,58.98,1.01,107.14,NA,0.00,NA,714.14,NA
2025-02-01 00:00:00,23.33,85.43,1.96,6.27,4.47,5.87,10.46,0.46,16.94,1.01,2.26,NA,NA,NA,NA,24.15,57.77,0.93,113.20,NA,0.00,NA,714.80,NA
2025-02-02 00:00:00,16.80,68.29,1.88,5.11,3.93,5.29,9.43,0.37,20.77,0.91,2.04,NA,NA,NA,NA,23.82,51.14,1.03,101.04,NA,0.00,NA,715.06,NA
2025-02-03 00:00:00,24.35,136.20,1.87,14.29,8.71,6.21,9.96,0.67,18.23,0.96,2.15,NA,NA,NA,NA,22.91,47.74,1.01,97.69,NA,0.00,NA,715.56,NA
2025-02-04 00:00:00,28.01,127.55,1.97,16.97,10.37,6.26,9.97,0.50,24.42,0.98,2.15,NA,NA,NA,NA,22.82,45.47,0.90,92.45,NA,0.00,NA,716.09,NA
2025-02-05 00:00:00,43.12,142.42,1.79,10.03,6.69,6.08,8.96,0.55,16.42,0.87,1.93,NA,NA,NA,NA,23.16,48.15,1.03,96.11,NA,0.00,NA,715.04,NA
2025-02-06 00:00:00,30.95,103.97,1.53,7.76,5.06,6.52,9.41,0.61,17.06,0.92,2.03,NA,NA,NA,NA,22.84,47.09,1.05,97.32,NA,0.00,NA,714.80,NA
2025-02-07 00:00:00,29.81,120.02,1.47,12.13,7.42,6.40,9.79,0.61,20.31,0.94,2.11,NA,NA,NA,NA,22.75,45.96,0.99,90.79,NA,0.00,NA,716.33,NA
2025-02-08 00:00:00,43.84,128.40,1.72,8.10,5.48,5.50,9.58,0.46,25.02,0.94,2.07,NA,NA,NA,NA,22.70,50.56,1.01,92.04,NA,0.00,NA,716.28,NA
2025-02-09 00:00:00,53.65,130.31,1.76,3.59,3.08,5.04,10.47,0.37,17.32,1.02,2.27,NA,NA,NA,NA,22.86,52.49,1.08,97.76,NA,0.00,NA,715.69,NA
2025-02-10 00:00:00,56.85,128.81,1.69,5.93,4.18,5.81,8.95,0.55,17.43,0.87,1.94,NA,NA,NA,NA,22.32,55.26,1.03,100.09,NA,0.00,NA,716.76,NA
2025-02-11 00:00:00,44.33,125.88,1.64,9.25,6.09,5.96,8.26,0.60,18.47,0.81,1.78,NA,NA,NA,NA,22.99,48.92,1.01,99.26,NA,0.00,NA,716.88,NA
2025-02-12 00:00:00,33.15,163.01,1.69,15.14,9.24,6.59,9.10,0.68,17.22,0.89,1.96,NA,NA,NA,NA,23.82,43.01,0.87,93.21,NA,0.00,NA,716.73,NA
2025-02-13 00:00:00,37.90,177.40,1.70,12.61,7.91,5.95,8.86,0.67,17.49,0.86,1.91,NA,NA,NA,NA,22.75,46.24,0.79,97.70,NA,0.00,NA,716.10,NA
2025-02-14 00:00:00,41.48,241.72,1.72,25.38,14.82,5.76,8.56,0.69,17.51,0.84,1.85,NA,NA,NA,NA,20.69,46.74,0.53,79.69,NA,0.00,NA,716.62,NA
2025-02-15 00:00:00,37.84,148.56,1.42,10.96,6.89,5.85,9.68,0.57,28.78,0.94,2.09,NA,NA,NA,NA,24.80,47.21,0.94,125.37,NA,0.00,NA,714.94,NA
2025-02-16 00:00:00,36.77,121.91,1.48,3.43,2.76,5.07,9.81,0.43,14.65,0.96,2.12,NA,NA,NA,NA,24.38,47.40,1.02,93.73,NA,0.00,NA,715.42,NA
2025-02-17 00:00:00,36.25,112.80,1.43,2.30,2.11,5.39,10.34,0.36,20.91,1.01,2.23,NA,NA,NA,NA,23.81,52.02,1.25,99.25,NA,0.00,NA,716.80,NA
2025-02-18 00:00:00,34.57,118.98,2.58,34.76,15.03,6.03,8.52,0.79,17.36,0.83,1.84,NA,NA,NA,NA,24.13,50.64,1.05,100.35,NA,0.00,NA,716.89,NA
2025-02-19 00:00:00,44.61,204.44,4.43,35.47,19.04,3.28,9.69,0.38,21.72,0.94,2.10,NA,NA,NA,NA,25.16,48.12,0.97,94.12,NA,0.00,NA,715.03,NA
2025-02-20 00:00:00,39.03,125.98,3.67,30.59,16.69,6.45,10.66,0.52,22.71,1.04,2.30,NA,NA,NA,NA,24.43,50.23,1.07,101.52,NA,0.00,NA,715.98,NA
2025-02-21 00:00:00,34.02,116.76,2.16,24.31,13.22,6.69,8.19,0.40,18.38,0.80,1.77,NA,NA,NA,NA,24.84,50.27,1.14,94.77,NA,0.00,NA,717.08,NA
2025-02-22 00:00:00,33.35,105.72,2.00,21.39,11.68,8.11,7.72,0.45,24.44,0.75,1.67,NA,NA,NA,NA,24.85,51.69,1.18,105.29,NA,0.00,NA,717.77,NA
2025-02-23 00:00:00,30.82,118.07,2.04,19.55,10.89,9.74,9.11,0.28,31.54,0.89,1.97,NA,NA,NA,NA,25.14,48.56,1.05,109.20,NA,0.00,NA,717.89,NA
2025-02-24 00:00:00,34.70,120.71,1.92,18.27,10.30,11.29,14.71,0.43,30.72,1.43,3.17,NA,NA,NA,NA,24.31,47.01,1.19,110.46,NA,0.00,NA,717.96,NA
2025-02-25 00:00:00,29.21,97.61,2.88,22.44,12.03,7.35,8.42,0.29,15.31,0.82,1.81,NA,NA,NA,NA,23.51,50.60,1.38,99.38,NA,0.00,NA,718.96,NA
2025-02-26 00:00:00,22.74,112.14,3.55,24.70,13.02,4.84,10.41,0.28,23.59,1.01,2.25,NA,NA,NA,NA,27.61,44.84,1.65,103.98,NA,0.00,NA,717.98,NA
2025-02-27 00:00:00,29.14,110.67,4.18,24.43,12.90,13.23,9.69,0.33,21.99,0.95,2.09,NA,NA,NA,NA,26.64,45.40,1.48,101.98,NA,0.00,NA,716.69,NA
2025-02-28 00:00:00,24.78,89.07,2.53,16.25,8.81,17.82,10.57,0.41,19.80,1.03,2.28,NA,NA,NA,NA,24.18,50.91,1.11,114.63,NA,0.00,NA,716.11,NA
2025-03-01 00:00:00,22.58,49.26,1.91,9.25,5.09,13.63,8.78,0.47,23.83,0.85,1.89,NA,NA,NA,NA,23.94,60.45,1.25,105.90,NA,0.00,NA,715.60,NA
2025-03-02 00:00:00,18.96,43.75,1.87,9.30,5.20,12.35,7.64,0.35,23.83,0.75,1.65,NA,NA,NA,NA,25.41,58.32,1.15,105.84,NA,0.00,NA,714.00,NA
2025-03-03 00:00:00,25.88,86.55,3.35,20.83,10.89,17.75,11.29,0.54,28.12,1.09,2.44,NA,NA,NA,NA,26.23,54.20,1.04,118.33,NA,0.00,NA,714.50,NA
2025-03-04 00:00:00,29.95,133.34,4.08,22.88,12.44,14.59,8.38,0.83,20.83,0.81,1.80,NA,NA,NA,NA,26.44,49.58,1.01,96.54,NA,0.00,NA,714.65,NA
2025-03-05 00:00:00,40.42,159.86,3.77,24.73,13.53,19.55,9.70,0.60,28.54,0.95,2.09,NA,NA,NA,NA,26.72,44.51,0.86,93.64,NA,0.00,NA,714.61,NA
2025-03-06 00:00:00,42.55,163.19,3.68,26.42,14.14,14.38,9.83,0.69,22.04,0.96,2.12,NA,NA,NA,NA,26.85,47.53,0.93,153.88,NA,0.00,NA,715.39,NA
2025-03-07 00:00:00,46.95,168.45,2.43,17.04,9.54,11.16,13.10,0.39,17.49,1.27,2.83,NA,NA,NA,NA,24.99,51.65,0.94,143.63,NA,0.00,NA,714.26,NA
2025-03-08 00:00:00,49.75,155.38,3.60,19.69,10.79,13.91,10.56,0.60,48.76,1.01,2.27,NA,NA,NA,NA,28.72,48.38,1.14,123.57,NA,0.00,NA,713.00,NA
2025-03-09 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-03-10 00:00:00,24.28,111.53,10.13,41.94,24.08,32.59,7.54,0.43,18.00,0.74,1.62,NA,NA,NA,NA,26.27,53.22,1.48,102.68,NA,0.00,NA,716.00,NA
2025-03-11 00:00:00,21.46,83.94,7.87,28.10,14.83,12.03,11.69,0.29,11.99,1.14,2.53,NA,NA,NA,NA,23.51,64.08,1.46,115.61,NA,0.00,NA,715.95,NA
2025-03-12 00:00:00,9.55,51.36,6.68,24.11,13.04,16.09,8.32,0.32,8.75,0.81,1.80,NA,NA,NA,NA,24.36,69.08,1.30,108.86,NA,0.00,NA,714.91,NA
2025-03-13 00:00:00,14.25,78.99,12.29,37.87,21.04,10.26,7.15,0.38,11.45,0.70,1.55,NA,NA,NA,NA,26.24,60.50,1.04,105.99,NA,0.00,NA,714.32,NA
2025-03-14 00:00:00,35.45,106.24,2.56,21.99,11.76,8.39,6.95,0.38,24.49,0.68,1.50,NA,NA,NA,NA,27.32,64.51,1.11,126.32,NA,0.00,NA,714.38,NA
2025-03-15 00:00:00,43.61,114.72,2.57,24.28,13.01,7.87,13.39,0.61,24.60,1.31,2.89,NA,NA,NA,NA,26.66,55.58,1.08,108.74,NA,0.00,NA,715.06,NA
2025-03-16 00:00:00,32.02,84.39,2.53,15.22,8.15,8.01,13.81,0.42,23.60,1.35,2.98,NA,NA,NA,NA,26.23,55.41,1.11,115.20,NA,0.00,NA,715.08,NA
2025-03-17 00:00:00,42.59,111.88,2.46,25.04,13.30,8.86,6.75,0.65,20.74,0.66,1.46,NA,NA,NA,NA,27.72,57.32,1.13,176.89,NA,0.00,NA,714.72,NA
