Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,49.20,183.38,5.14,14.72,19.86,9.45,6.14,1.15,5.47,0.99,2.36,NA,NA,0.79,0.69,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 00:00:00,41.79,185.12,5.09,14.71,19.83,9.40,6.16,1.14,5.64,0.98,2.35,NA,NA,0.79,0.69,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 00:00:00,47.95,200.29,5.10,14.73,19.85,9.41,6.26,1.14,5.71,0.98,2.36,NA,NA,0.79,0.69,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-04 00:00:00,45.88,207.10,5.12,14.72,19.85,9.45,4.99,1.15,5.76,0.99,2.36,NA,NA,0.79,0.69,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 00:00:00,49.07,210.47,5.15,14.73,19.86,9.48,6.40,1.15,5.77,0.99,2.37,NA,NA,0.79,0.69,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-06 00:00:00,46.83,209.63,5.11,14.72,19.84,9.42,5.62,1.14,5.84,0.98,2.36,NA,NA,0.79,0.69,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-07 00:00:00,48.94,221.76,5.12,14.72,19.83,9.43,6.32,1.15,5.90,0.99,2.35,NA,NA,0.79,0.69,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-08 00:00:00,69.38,235.42,5.13,14.72,19.87,9.46,6.99,1.15,5.58,0.99,2.37,NA,NA,0.79,0.69,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-09 00:00:00,47.92,194.39,5.12,14.71,19.85,9.44,5.57,1.15,5.74,0.99,2.36,NA,NA,0.79,0.69,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-10 00:00:00,42.64,194.50,5.13,14.73,19.85,9.48,7.29,1.15,5.72,0.99,2.36,NA,NA,0.79,0.69,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-11 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
