Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,17.62,50.29,2.79,17.13,19.46,10.96,2.96,0.42,51.48,NA,0.33,0.08,NA,NA,0.22,23.40,58.58,0.89,132.16,0.00,0.00,86.30,884.88,NA
2025-01-02 00:00:00,19.23,49.06,2.85,19.80,22.65,10.53,3.29,0.38,35.14,NA,0.27,0.08,NA,NA,0.22,22.93,59.62,0.98,91.00,0.00,0.00,85.69,884.56,NA
2025-01-03 00:00:00,22.01,49.38,3.06,18.38,20.71,8.40,2.97,0.23,31.00,NA,0.27,0.09,NA,NA,0.21,22.61,56.64,0.94,137.55,0.00,0.00,83.86,884.72,NA
2025-01-04 00:00:00,21.34,49.81,2.46,19.36,19.30,9.95,3.72,0.33,29.70,NA,0.27,0.09,NA,NA,0.20,21.96,56.05,0.87,157.60,0.00,0.00,78.38,884.18,NA
2025-01-05 00:00:00,17.31,47.60,2.72,17.56,21.17,9.01,3.73,0.31,23.61,NA,0.26,0.09,NA,NA,0.19,20.94,65.14,0.83,185.01,0.00,0.00,85.72,884.16,NA
2025-01-06 00:00:00,17.81,43.67,3.55,17.42,21.63,10.14,4.45,0.34,28.83,NA,0.27,0.09,NA,NA,0.21,22.41,61.21,0.78,203.00,0.00,0.00,87.12,883.86,NA
2025-01-07 00:00:00,21.38,51.63,3.10,23.38,26.10,11.94,4.09,0.43,38.10,NA,0.30,0.09,NA,NA,0.22,23.53,64.25,0.84,132.56,0.00,0.00,96.89,883.82,NA
2025-01-08 00:00:00,18.63,48.99,2.89,22.01,24.90,10.81,4.03,0.41,42.44,NA,0.34,0.11,NA,NA,0.23,22.62,55.41,0.86,150.68,0.00,0.00,81.64,883.73,NA
2025-01-09 00:00:00,20.22,48.09,2.88,17.38,19.38,9.05,3.23,0.30,39.27,NA,0.33,0.09,NA,NA,0.23,21.67,59.68,0.87,168.32,0.00,0.00,83.89,884.33,NA
2025-01-10 00:00:00,18.09,48.70,3.38,19.97,22.81,10.65,3.90,0.34,37.06,NA,0.31,0.11,NA,NA,0.22,21.91,70.27,0.84,107.53,0.00,0.00,95.20,885.28,NA
